../datasets/wpp/parte_1_wpp.csv -> ./resultados/wpp/zero_shot_parte_1.csv | Tempo: 0.02 min | Prompt tokens: 0 | Saída tokens: 0 | Total tokens: 0
../datasets/wpp/parte_2_wpp.csv -> ./resultados/wpp/zero_shot_parte_2.csv | Tempo: 0.02 min | Prompt tokens: 0 | Saída tokens: 0 | Total tokens: 0
../datasets/wpp/parte_3_wpp.csv -> ./resultados/wpp/zero_shot_parte_3.csv | Tempo: 0.02 min | Prompt tokens: 0 | Saída tokens: 0 | Total tokens: 0
../datasets/wpp/parte_4_wpp.csv -> ./resultados/wpp/zero_shot_parte_4.csv | Tempo: 0.02 min | Prompt tokens: 0 | Saída tokens: 0 | Total tokens: 0
../datasets/wpp/parte_5_wpp.csv -> ./resultados/wpp/zero_shot_parte_5.csv | Tempo: 0.02 min | Prompt tokens: 0 | Saída tokens: 0 | Total tokens: 0
../datasets/wpp/parte_6_wpp.csv -> ./resultados/wpp/zero_shot_parte_6.csv | Tempo: 0.02 min | Prompt tokens: 0 | Saída tokens: 0 | Total tokens: 0
../datasets/wpp/parte_7_wpp.csv -> ./resultados/wpp/zero_shot_parte_7.csv | Tempo: 0.02 min | Prompt tokens: 0 | Saída tokens: 0 | Total tokens: 0
../datasets/wpp/parte_8_wpp.csv -> ./resultados/wpp/zero_shot_parte_8.csv | Tempo: 0.02 min | Prompt tokens: 0 | Saída tokens: 0 | Total tokens: 0
../datasets/wpp/parte_9_wpp.csv -> ./resultados/wpp/zero_shot_parte_9.csv | Tempo: 0.02 min | Prompt tokens: 0 | Saída tokens: 0 | Total tokens: 0
../datasets/wpp/parte_10_wpp.csv -> ./resultados/wpp/zero_shot_parte_10.csv | Tempo: 0.02 min | Prompt tokens: 0 | Saída tokens: 0 | Total tokens: 0
../datasets/wpp/parte_11_wpp.csv -> ./resultados/wpp/zero_shot_parte_11.csv | Tempo: 0.02 min | Prompt tokens: 0 | Saída tokens: 0 | Total tokens: 0
../datasets/wpp/parte_12_wpp.csv -> ./resultados/wpp/zero_shot_parte_12.csv | Tempo: 0.02 min | Prompt tokens: 0 | Saída tokens: 0 | Total tokens: 0
../datasets/wpp/parte_1_wpp.csv -> ./resultados/wpp/zero_shot_parte_1.csv | Tempo: 0.27 min | Prompt tokens: 5000 | Saída tokens: 356 | Total tokens: 5356
../datasets/wpp/parte_2_wpp.csv -> ./resultados/wpp/zero_shot_parte_2.csv | Tempo: 0.27 min | Prompt tokens: 4262 | Saída tokens: 356 | Total tokens: 4618
../datasets/wpp/parte_3_wpp.csv -> ./resultados/wpp/zero_shot_parte_3.csv | Tempo: 0.25 min | Prompt tokens: 4337 | Saída tokens: 356 | Total tokens: 4693
../datasets/wpp/parte_4_wpp.csv -> ./resultados/wpp/zero_shot_parte_4.csv | Tempo: 0.23 min | Prompt tokens: 3665 | Saída tokens: 356 | Total tokens: 4021
../datasets/wpp/parte_5_wpp.csv -> ./resultados/wpp/zero_shot_parte_5.csv | Tempo: 0.23 min | Prompt tokens: 3786 | Saída tokens: 356 | Total tokens: 4142
../datasets/wpp/parte_6_wpp.csv -> ./resultados/wpp/zero_shot_parte_6.csv | Tempo: 0.23 min | Prompt tokens: 3855 | Saída tokens: 356 | Total tokens: 4211
../datasets/wpp/parte_7_wpp.csv -> ./resultados/wpp/zero_shot_parte_7.csv | Tempo: 0.23 min | Prompt tokens: 3652 | Saída tokens: 356 | Total tokens: 4008
../datasets/wpp/parte_8_wpp.csv -> ./resultados/wpp/zero_shot_parte_8.csv | Tempo: 0.24 min | Prompt tokens: 4960 | Saída tokens: 356 | Total tokens: 5316
../datasets/wpp/parte_9_wpp.csv -> ./resultados/wpp/zero_shot_parte_9.csv | Tempo: 0.22 min | Prompt tokens: 3658 | Saída tokens: 356 | Total tokens: 4014
../datasets/wpp/parte_10_wpp.csv -> ./resultados/wpp/zero_shot_parte_10.csv | Tempo: 0.23 min | Prompt tokens: 4757 | Saída tokens: 356 | Total tokens: 5113
../datasets/wpp/parte_11_wpp.csv -> ./resultados/wpp/zero_shot_parte_11.csv | Tempo: 0.22 min | Prompt tokens: 4491 | Saída tokens: 356 | Total tokens: 4847
../datasets/wpp/parte_12_wpp.csv -> ./resultados/wpp/zero_shot_parte_12.csv | Tempo: 0.22 min | Prompt tokens: 4412 | Saída tokens: 356 | Total tokens: 4768
