id,text_content_anonymous,rotulo_modelo
382,"Outro jornalista que é de direita é o Allan dos Santos, ele está passando por sérias dificuldades financeiras, está praticamente abandonado nos Estados Unidos.",0
1602,"Marilia, não fica triste, não quero te fazer sofrer, entrega pra Deus, eles vão sofrer as escolhas deles, a gente sofre junto, mas fazer  o que?! Fica bem…  é um desabafo…. To muito indignada.  Seja feliz, e faca a sua parte.",0
903,"*Lá vem vindo a Palavra de Deus...:open_book:*

Deus conhece cada movimento do nosso coração! Lutemos para que os nossos nomes estejam escritos no céu, pois o sucesso e tudo na vida é passageiro e muito enganador.
Que Deus nos ajude a vivermos  na terra buscando as coisas do céu.

Evangelho do Dia 01 de Outubro com o *Pe. Reginaldo Manzotti*",0
2072,"Lulaladrao já matou um monte de gente direta e indiretamente em hospitais precisando de um leito, bandidos matando pessoas e polícias ele acha normal, lula e o demônio em pessoa.",1
461,"*EPA , VAI TER EXORCISMO AO VIVO NO DEBATE DA GLOBO !*",0
641,Record: Militantes de esquerda jogam fezes na porta da igreja universal.,0
2612,LULADRÃO.  FUGIU. FRAUDA CHEIA,1
956,"LISTA DE CANDIDATOS PARA SP* ATUALIZADA.

*PRESIDENTE*
22 (PL) BOLSONARO

*GOVERNADOR SP*
10 (Rep.) TARCÍSIO

*SENADOR SP*
222 (PL) ASTRONAUTA MARCOS PONTES

*DEP. FEDERAL SP*
2200 (PL) CAPITÃO AUGUSTO 
2208 (PL) MARIO FRIAS
2222 (PL) EDUARDO BOLSONARO
2210 (PL) CARLA ZAMBELLI
2227 (PL) ROSANA VALLE
2250 (PL) RICARDO SALLES
2290 (PL) CAPITAO DERRITE
2243 (PL) LUIZ PHILIPPE DE O BRAGANÇA
2225 Ramiro
(Caminhoneiro) ; 
1468 Marcelo Rossi ;
1199 Coronel Telhada

*DEP. ESTADUAL SP*
22000 (PL) MAJOR MECCA 
22100 (PL) BRUNO ZAMBELLI
22500 (PL) LUCAS BOVE
22180 (PL) DELEGADA RAQUEL GALLINATI
10017 (Rep.) DANILO CAMPETTI
22007 (PL) DANILO BALAS
22030 (PL) JOÃO CESAR
22444 (PL) TENENTE COIMBRA
11190 Capitão Telhada; 
22225 Vilela;
14552 Rodrigo Pedroso",0
781,":backhand_index_pointing_up: *Neymar desenha a democracia seletiva da esquerda.*
:backhand_index_pointing_up::thinking_face::thinking_face::thinking_face::thinking_face::thinking_face::thinking_face::thinking_face:
Canal
[USER]:Brazil:",1
1056,"Reinaldo Teixeira dos Santos, o Funchal, também trata do cenário eleitoral com uma advogada, identificada apenas como Fabiana. No diálogo, ele diz que “Lula foi absolvido de novo” e pergunta se o petista poderá concorrer à Presidência da República. Ela responde positivamente. Os dois fazem piada com a disputa. Funchal foi condenado pelo assassinato do juiz corregedor Antônio José Machado Dias, em 2003.",0
1241,"A juventude na sua grande maioria votando em Lula
Só Deus para salvar essa nação.",0
2345,"TA METINDO OU É IDIOTA. LEVANTARAM IMOVEIS COMPRADOS DESDE 30 ANOS DE PARENTES, EX MULHERES FAMILIARES E DO PROPRIO BOLSONARO. AÌ VEM VC COM ESSA PERGUNTA MENTIROSA ? Bsbacao",1
2941,Tinham q  da na cara dele até esse idiota nascer cabelo,1
746,"Beto Preto é Secretário de Saúde no Paraná, desde que o Ratinho jr assumiu, por isso no primeiro turno vote        :keycap_2::keycap_7:Joni Correia Governador, ratinho só em caso de desespero em segundo turno contra o comedor de mamona.",0
1916,"Olha, baiano...
Eu não sou esquerdista não. Não me ataque, só me mande uma rede.",0
152,PT NUNCA MAIS !!!  O POVO BRASILEIRO NÃO É IDIOTA.,0
95,"Presidente - Bolsonaro 22
Senador - Rogério Marinho 222
Governador - Fábi Dantas 77
Deputado federal - Generao Girão 2210
Deputado Estadual - Coronel Azevedo 22222",0
1353,"Ganha sim cara, lembra que em 2018 só tinha esquerdista concorrendo, era Meirelles, Alckmin e Bolsonaro ganhou",0
426,"Já já a esquerda inventa uma fake sobre ela, por ter falado essas verdades. Aguardem.....",1
2094,Essa aí é PILANTRA também! Se o Luladrão ganhar ela será uma das ministras do Luladrão.,1
2718,"É gente, infelizmente só  as FORÇAS ARMADAS OU CADA TREs  é TSE com militares dentro. Depois que a TRESLOUCADA GLOGO SÁDICA,  já postou O RESULTADO DAS ELEIÇÕES DE DOMINGO ( BOLETINS) MESMO. JÁ ESTÃO FRAUDADAS AS ELEIÇÕES.  UM MALTO SATANÁS LULADRÃO MELIANTE BELZEBU NÃO  PODE SER PRESIDENTE. E ATÉ O GOOGLE  GOOGLE  GOOGLE ESTA ENVOLVIDO EM REMESSAS DE DINHEIRO DOS PAISES CARIBENHOS PARA O MELIANTE LULADRÃO BELZEBU",1
