modelo,fold,texto,y_true,y_pred,tipo_erro,score
LogisticRegression,0,Inclusive ele criou satã para nós torturar para sempre no inferno pq sabe oq faz,1,0,FN,0.049512475488952976
LogisticRegression,0,A blogueira nem apagou a calúnia e olha só a virgem no puteiro,1,0,FN,0.1566821716725162
LogisticRegression,0,"Pois é agora pra tirar esse canalha traidor, só daqui 8 anos.",1,0,FN,0.023593352756164223
LogisticRegression,0,"Socialismo em Los Angeles. Caos total depois que passaram a legislação permitindo até 900 dólares em roubo sem punição.

Não podemos permitir que a esquerda tome conta do poder, com eles no poder tudo que há de pior pode acontecer.",1,0,FN,0.255211384850419
LogisticRegression,0,O esquerdista Ciro teve um clímax com  o ataque do Bolsonaro frente ao Loola.,1,0,FN,0.0945399823449708
LogisticRegression,0,"ÚLTIMO DEBATE DA GLOBO PRESIDENCIÁVEIS 
VAMOS ASSISTIR PELO OS CANAIS  DE DIREITA NO YOUTUBE  PRA GLOBO NÃO TER MUITA AUDIÊNCIA:chart_decreasing:",1,0,FN,0.03853184100843931
LogisticRegression,0,Domingo é a nossa vez de varrer a esquerda do Brasil.,1,0,FN,0.03841866021162008
LogisticRegression,0,PROJETO DA ESQUERDA :backhand_index_pointing_up::backhand_index_pointing_up:TRANSFORMAR MILHÕES DE JOVENS EM ZUMBIS :backhand_index_pointing_up::backhand_index_pointing_up:JESUS É MAIOR E VENCEREMOS :folded_hands::folded_hands:,1,0,FN,0.2910827278099609
LogisticRegression,0,"Bom dia Grupo Abençoado.  Que Deus nos Abençõe em mais um dia.    E que a vontade de cutucar Petistas nunca nos falte.    Pelo bem da Nação. 
Mito na Veia 
Forte abraço 
22",1,0,FN,0.20054126375178702
LogisticRegression,0,"Caraiiii 

Comparar gigante Brasil 
Com esses paiseco menos que o Acre!!!

Tá errado isso ai

Comparar com país decente!",1,0,FN,0.13343612544286712
LogisticRegression,0,"Comando vermelho declara apoio à Lula e Freixo na quadra da Mangueira
 Gente, olha a situação do Rio:backhand_index_pointing_up_medium_skin_tone::backhand_index_pointing_up_medium_skin_tone::backhand_index_pointing_up_medium_skin_tone: tire suas conclusões se o Lula, o PT e toda a esquerda é ou não uma organização criminosa. Dia 02 vote consciente. Só temos uma única alternativa 22 Bolsonaro.",1,0,FN,0.36774733813494465
LogisticRegression,0,"*ESTE É O REGIME DA CHINA QUE LULA AMEAÇA TRAZER PARA O BRASIL, SÓ MORRERÃO OPERÁRIOS E OPERÁRIAS QUE NÃO AGUENTARÃO O REGIME FORÇADO DE TRABALHO ESCRAVO PRODUZINDO PRODUTOS QUE SÃO VENDIDOS PARA O MUNDO POR PREÇOS BARATOS. ENQUANTO OS RICOS SAIRIAM DO BRASIL ATÉ DEZEMBRO*.",1,0,FN,0.0800476979843818
LogisticRegression,0,":raised_fist_dark_skin_tone: *BANDEIRAÇO* :raised_fist_medium-dark_skin_tone:

:spiral_calendar: Hoje (27/09) - 16h
:round_pushpin:Av. Godofredo Maciel com Perimetral 

Galera de Fortaleza e adjacências, convidamos todas, todos e todes para juntos ocupar as ruas no bandeiraço *PSOL COM LULA* . Cola conosco por lá e vamos juntos celebrar a esperança!

*Faltam apenas 5 dias para vencermos o fascismo elegendo Lula 13 e Renato Roseno 50500.*

:raised_fist_dark_skin_tone::raised_fist_light_skin_tone::raised_fist_medium-dark_skin_tone:",1,0,FN,0.003141796655947297
LogisticRegression,0,[USER] ADM??? VAI TOMA BEM NO MEIO DO SEU CU SEU FILHO DE UMA PUTA,1,0,FN,0.3889569385554396
LogisticRegression,0,"Você não é comunista, vc é moleque mimado criado com a vovó, dá turma você é o quê dava o :OK_hand: pros amigos e hj fuma maconha pra dizer que é macho...",1,0,FN,0.008913943848070297
LogisticRegression,0,"Kkk
Com certeza só que estamos entre os dois 
Como diz a PALAVRA DE DEUS SOMOS EMBAIXADORES DE CRISTO NA TERRA 
.....
DEVEMOS TER A MENTE DE CTISTO""!
Quando vc vota é confirma para Deus vc manda o recado de que concorda com aquilo que o candidato pensa..
Enquanto Lula quer a destruição da família, liberação do aborto e das drogas, cartilha das drogas e LGBTQIA+ nas escolas com banheiro trigenero, ou seja sua filha vai usar banheiro junto com marmanjo...
E ai... Lula quer aprovar no congresso leis que impedem vc evangelizar no Brasil coisa que já acontece em vários países de esquerda com presidentes amigos de Lula...
Citamos a Nicarágua agora...
Na França se vc evangelizar na rua paga multa para o governo..
EUA já não se pode ler a Bíblia fora da Igreja...
Nas praças...
Etc",1,0,FN,0.019938811044409907
LogisticRegression,0,A mulherzinha que ganhou a eleição usando o nome de Bolsonaro ficou stressadinha kkkk,1,0,FN,0.038900692235068805
LogisticRegression,0,Esse é um recalcado comunista contra Deus contra igreja … e a figura do maligno aqui na terra,1,0,FN,0.12209531905820778
LogisticRegression,0,"É difícil ter comunhão com um crente desse que compactua com a bandidagem.
Os olhos de Deus estão em todo lugar, observando esses.",1,0,FN,0.054214766490401044
