../datasets/telegram/parte_1_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_parte_1.csv | Tempo: 0.09 min | Prompt tokens: 5282 | Saída tokens: 304 | Total tokens: 5586
../datasets/telegram/parte_2_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_parte_2.csv | Tempo: 0.09 min | Prompt tokens: 5414 | Saída tokens: 304 | Total tokens: 5718
../datasets/telegram/parte_3_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_parte_3.csv | Tempo: 0.10 min | Prompt tokens: 4494 | Saída tokens: 304 | Total tokens: 4798
../datasets/telegram/parte_4_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_parte_4.csv | Tempo: 0.07 min | Prompt tokens: 4627 | Saída tokens: 304 | Total tokens: 4931
../datasets/telegram/parte_5_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_parte_5.csv | Tempo: 0.08 min | Prompt tokens: 4555 | Saída tokens: 304 | Total tokens: 4859
../datasets/telegram/parte_6_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_parte_6.csv | Tempo: 0.07 min | Prompt tokens: 4694 | Saída tokens: 304 | Total tokens: 4998
../datasets/telegram/parte_7_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_parte_7.csv | Tempo: 0.12 min | Prompt tokens: 5185 | Saída tokens: 304 | Total tokens: 5489
../datasets/telegram/parte_8_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_parte_8.csv | Tempo: 0.40 min | Prompt tokens: 5061 | Saída tokens: 304 | Total tokens: 5365
../datasets/telegram/parte_9_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_parte_9.csv | Tempo: 0.11 min | Prompt tokens: 4726 | Saída tokens: 304 | Total tokens: 5030
../datasets/telegram/parte_10_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_parte_10.csv | Tempo: 0.03 min | Prompt tokens: 5409 | Saída tokens: 28 | Total tokens: 5437
../datasets/telegram/parte_11_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_parte_11.csv | Tempo: 0.13 min | Prompt tokens: 4479 | Saída tokens: 304 | Total tokens: 4783
../datasets/telegram/parte_12_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_parte_12.csv | Tempo: 0.03 min | Prompt tokens: 5417 | Saída tokens: 28 | Total tokens: 5445
../datasets/telegram/parte_1_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_parte_1.csv | Tempo: 0.14 min | Prompt tokens: 5221 | Saída tokens: 356 | Total tokens: 5577
../datasets/telegram/parte_2_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_parte_2.csv | Tempo: 0.16 min | Prompt tokens: 5353 | Saída tokens: 356 | Total tokens: 5709
../datasets/telegram/parte_3_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_parte_3.csv | Tempo: 0.11 min | Prompt tokens: 4433 | Saída tokens: 356 | Total tokens: 4789
../datasets/telegram/parte_4_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_parte_4.csv | Tempo: 0.17 min | Prompt tokens: 4566 | Saída tokens: 356 | Total tokens: 4922
../datasets/telegram/parte_5_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_parte_5.csv | Tempo: 0.15 min | Prompt tokens: 4494 | Saída tokens: 356 | Total tokens: 4850
../datasets/telegram/parte_6_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_parte_6.csv | Tempo: 0.11 min | Prompt tokens: 4633 | Saída tokens: 356 | Total tokens: 4989
../datasets/telegram/parte_7_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_parte_7.csv | Tempo: 0.11 min | Prompt tokens: 5124 | Saída tokens: 356 | Total tokens: 5480
../datasets/telegram/parte_8_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_parte_8.csv | Tempo: 0.14 min | Prompt tokens: 5000 | Saída tokens: 356 | Total tokens: 5356
../datasets/telegram/parte_9_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_parte_9.csv | Tempo: 0.14 min | Prompt tokens: 4665 | Saída tokens: 356 | Total tokens: 5021
../datasets/telegram/parte_10_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_parte_10.csv | Tempo: 0.15 min | Prompt tokens: 5348 | Saída tokens: 356 | Total tokens: 5704
../datasets/telegram/parte_11_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_parte_11.csv | Tempo: 0.13 min | Prompt tokens: 4418 | Saída tokens: 356 | Total tokens: 4774
../datasets/telegram/parte_12_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_parte_12.csv | Tempo: 0.15 min | Prompt tokens: 5356 | Saída tokens: 356 | Total tokens: 5712
