../datasets/telegram/parte_1_telegram.csv -> ./resultados/telegram/role_prompting_parte_1.csv | Tempo: 0.02 min | Prompt tokens: 0 | Saída tokens: 0 | Total tokens: 0
../datasets/telegram/parte_2_telegram.csv -> ./resultados/telegram/role_prompting_parte_2.csv | Tempo: 0.01 min | Prompt tokens: 0 | Saída tokens: 0 | Total tokens: 0
../datasets/telegram/parte_3_telegram.csv -> ./resultados/telegram/role_prompting_parte_3.csv | Tempo: 0.01 min | Prompt tokens: 0 | Saída tokens: 0 | Total tokens: 0
../datasets/telegram/parte_4_telegram.csv -> ./resultados/telegram/role_prompting_parte_4.csv | Tempo: 0.02 min | Prompt tokens: 0 | Saída tokens: 0 | Total tokens: 0
../datasets/telegram/parte_5_telegram.csv -> ./resultados/telegram/role_prompting_parte_5.csv | Tempo: 0.02 min | Prompt tokens: 0 | Saída tokens: 0 | Total tokens: 0
../datasets/telegram/parte_6_telegram.csv -> ./resultados/telegram/role_prompting_parte_6.csv | Tempo: 0.02 min | Prompt tokens: 0 | Saída tokens: 0 | Total tokens: 0
../datasets/telegram/parte_7_telegram.csv -> ./resultados/telegram/role_prompting_parte_7.csv | Tempo: 0.02 min | Prompt tokens: 0 | Saída tokens: 0 | Total tokens: 0
../datasets/telegram/parte_8_telegram.csv -> ./resultados/telegram/role_prompting_parte_8.csv | Tempo: 0.04 min | Prompt tokens: 0 | Saída tokens: 0 | Total tokens: 0
../datasets/telegram/parte_9_telegram.csv -> ./resultados/telegram/role_prompting_parte_9.csv | Tempo: 0.01 min | Prompt tokens: 0 | Saída tokens: 0 | Total tokens: 0
../datasets/telegram/parte_10_telegram.csv -> ./resultados/telegram/role_prompting_parte_10.csv | Tempo: 0.01 min | Prompt tokens: 0 | Saída tokens: 0 | Total tokens: 0
../datasets/telegram/parte_11_telegram.csv -> ./resultados/telegram/role_prompting_parte_11.csv | Tempo: 0.01 min | Prompt tokens: 0 | Saída tokens: 0 | Total tokens: 0
../datasets/telegram/parte_12_telegram.csv -> ./resultados/telegram/role_prompting_parte_12.csv | Tempo: 0.01 min | Prompt tokens: 0 | Saída tokens: 0 | Total tokens: 0
../datasets/telegram/parte_1_telegram.csv -> ./resultados/telegram/role_prompting_parte_1.csv | Tempo: 0.15 min | Prompt tokens: 4781 | Saída tokens: 304 | Total tokens: 5085
../datasets/telegram/parte_2_telegram.csv -> ./resultados/telegram/role_prompting_parte_2.csv | Tempo: 0.13 min | Prompt tokens: 4913 | Saída tokens: 304 | Total tokens: 5217
../datasets/telegram/parte_3_telegram.csv -> ./resultados/telegram/role_prompting_parte_3.csv | Tempo: 0.14 min | Prompt tokens: 3993 | Saída tokens: 304 | Total tokens: 4297
../datasets/telegram/parte_4_telegram.csv -> ./resultados/telegram/role_prompting_parte_4.csv | Tempo: 0.14 min | Prompt tokens: 4126 | Saída tokens: 304 | Total tokens: 4430
../datasets/telegram/parte_5_telegram.csv -> ./resultados/telegram/role_prompting_parte_5.csv | Tempo: 0.13 min | Prompt tokens: 4054 | Saída tokens: 304 | Total tokens: 4358
../datasets/telegram/parte_6_telegram.csv -> ./resultados/telegram/role_prompting_parte_6.csv | Tempo: 0.14 min | Prompt tokens: 4193 | Saída tokens: 304 | Total tokens: 4497
../datasets/telegram/parte_7_telegram.csv -> ./resultados/telegram/role_prompting_parte_7.csv | Tempo: 0.15 min | Prompt tokens: 4684 | Saída tokens: 304 | Total tokens: 4988
../datasets/telegram/parte_8_telegram.csv -> ./resultados/telegram/role_prompting_parte_8.csv | Tempo: 0.14 min | Prompt tokens: 4560 | Saída tokens: 304 | Total tokens: 4864
../datasets/telegram/parte_9_telegram.csv -> ./resultados/telegram/role_prompting_parte_9.csv | Tempo: 0.23 min | Prompt tokens: 4225 | Saída tokens: 304 | Total tokens: 4529
../datasets/telegram/parte_10_telegram.csv -> ./resultados/telegram/role_prompting_parte_10.csv | Tempo: 0.20 min | Prompt tokens: 4908 | Saída tokens: 304 | Total tokens: 5212
../datasets/telegram/parte_11_telegram.csv -> ./resultados/telegram/role_prompting_parte_11.csv | Tempo: 0.13 min | Prompt tokens: 3978 | Saída tokens: 304 | Total tokens: 4282
../datasets/telegram/parte_12_telegram.csv -> ./resultados/telegram/role_prompting_parte_12.csv | Tempo: 0.13 min | Prompt tokens: 4916 | Saída tokens: 304 | Total tokens: 5220
../datasets/telegram/parte_1_telegram.csv -> ./resultados/telegram/role_prompting_parte_1.csv | Tempo: 0.11 min | Prompt tokens: 4781 | Saída tokens: 304 | Total tokens: 5085
../datasets/telegram/parte_2_telegram.csv -> ./resultados/telegram/role_prompting_parte_2.csv | Tempo: 0.12 min | Prompt tokens: 4913 | Saída tokens: 304 | Total tokens: 5217
../datasets/telegram/parte_3_telegram.csv -> ./resultados/telegram/role_prompting_parte_3.csv | Tempo: 0.11 min | Prompt tokens: 3993 | Saída tokens: 304 | Total tokens: 4297
../datasets/telegram/parte_4_telegram.csv -> ./resultados/telegram/role_prompting_parte_4.csv | Tempo: 0.13 min | Prompt tokens: 4126 | Saída tokens: 304 | Total tokens: 4430
../datasets/telegram/parte_5_telegram.csv -> ./resultados/telegram/role_prompting_parte_5.csv | Tempo: 0.11 min | Prompt tokens: 4054 | Saída tokens: 304 | Total tokens: 4358
../datasets/telegram/parte_6_telegram.csv -> ./resultados/telegram/role_prompting_parte_6.csv | Tempo: 0.13 min | Prompt tokens: 4193 | Saída tokens: 304 | Total tokens: 4497
../datasets/telegram/parte_7_telegram.csv -> ./resultados/telegram/role_prompting_parte_7.csv | Tempo: 0.10 min | Prompt tokens: 4684 | Saída tokens: 304 | Total tokens: 4988
../datasets/telegram/parte_8_telegram.csv -> ./resultados/telegram/role_prompting_parte_8.csv | Tempo: 0.12 min | Prompt tokens: 4560 | Saída tokens: 304 | Total tokens: 4864
../datasets/telegram/parte_9_telegram.csv -> ./resultados/telegram/role_prompting_parte_9.csv | Tempo: 0.13 min | Prompt tokens: 4225 | Saída tokens: 304 | Total tokens: 4529
../datasets/telegram/parte_10_telegram.csv -> ./resultados/telegram/role_prompting_parte_10.csv | Tempo: 0.14 min | Prompt tokens: 4908 | Saída tokens: 304 | Total tokens: 5212
../datasets/telegram/parte_11_telegram.csv -> ./resultados/telegram/role_prompting_parte_11.csv | Tempo: 0.42 min | Prompt tokens: 3978 | Saída tokens: 304 | Total tokens: 4282
../datasets/telegram/parte_12_telegram.csv -> ./resultados/telegram/role_prompting_parte_12.csv | Tempo: 0.12 min | Prompt tokens: 4916 | Saída tokens: 304 | Total tokens: 5220
../datasets/telegram/parte_1_telegram.csv -> ./resultados/telegram/role_prompting_parte_1.csv | Tempo: 0.10 min | Prompt tokens: 4781 | Saída tokens: 304 | Total tokens: 5085
../datasets/telegram/parte_2_telegram.csv -> ./resultados/telegram/role_prompting_parte_2.csv | Tempo: 0.11 min | Prompt tokens: 4913 | Saída tokens: 304 | Total tokens: 5217
../datasets/telegram/parte_3_telegram.csv -> ./resultados/telegram/role_prompting_parte_3.csv | Tempo: 0.10 min | Prompt tokens: 3993 | Saída tokens: 304 | Total tokens: 4297
../datasets/telegram/parte_4_telegram.csv -> ./resultados/telegram/role_prompting_parte_4.csv | Tempo: 0.10 min | Prompt tokens: 4126 | Saída tokens: 304 | Total tokens: 4430
../datasets/telegram/parte_5_telegram.csv -> ./resultados/telegram/role_prompting_parte_5.csv | Tempo: 0.15 min | Prompt tokens: 4054 | Saída tokens: 304 | Total tokens: 4358
../datasets/telegram/parte_6_telegram.csv -> ./resultados/telegram/role_prompting_parte_6.csv | Tempo: 0.12 min | Prompt tokens: 4193 | Saída tokens: 304 | Total tokens: 4497
../datasets/telegram/parte_7_telegram.csv -> ./resultados/telegram/role_prompting_parte_7.csv | Tempo: 0.13 min | Prompt tokens: 4684 | Saída tokens: 304 | Total tokens: 4988
../datasets/telegram/parte_8_telegram.csv -> ./resultados/telegram/role_prompting_parte_8.csv | Tempo: 0.23 min | Prompt tokens: 4560 | Saída tokens: 304 | Total tokens: 4864
../datasets/telegram/parte_9_telegram.csv -> ./resultados/telegram/role_prompting_parte_9.csv | Tempo: 0.11 min | Prompt tokens: 4225 | Saída tokens: 304 | Total tokens: 4529
../datasets/telegram/parte_10_telegram.csv -> ./resultados/telegram/role_prompting_parte_10.csv | Tempo: 0.11 min | Prompt tokens: 4908 | Saída tokens: 304 | Total tokens: 5212
../datasets/telegram/parte_11_telegram.csv -> ./resultados/telegram/role_prompting_parte_11.csv | Tempo: 0.11 min | Prompt tokens: 3978 | Saída tokens: 304 | Total tokens: 4282
../datasets/telegram/parte_12_telegram.csv -> ./resultados/telegram/role_prompting_parte_12.csv | Tempo: 0.10 min | Prompt tokens: 4916 | Saída tokens: 304 | Total tokens: 5220
../datasets/telegram/parte_1_telegram.csv -> ./resultados/telegram/role_prompting_parte_1.csv | Tempo: 0.11 min | Prompt tokens: 4781 | Saída tokens: 304 | Total tokens: 5085
../datasets/telegram/parte_2_telegram.csv -> ./resultados/telegram/role_prompting_parte_2.csv | Tempo: 0.12 min | Prompt tokens: 4913 | Saída tokens: 304 | Total tokens: 5217
../datasets/telegram/parte_3_telegram.csv -> ./resultados/telegram/role_prompting_parte_3.csv | Tempo: 0.10 min | Prompt tokens: 3993 | Saída tokens: 304 | Total tokens: 4297
../datasets/telegram/parte_4_telegram.csv -> ./resultados/telegram/role_prompting_parte_4.csv | Tempo: 0.12 min | Prompt tokens: 4126 | Saída tokens: 304 | Total tokens: 4430
../datasets/telegram/parte_5_telegram.csv -> ./resultados/telegram/role_prompting_parte_5.csv | Tempo: 0.10 min | Prompt tokens: 4054 | Saída tokens: 304 | Total tokens: 4358
../datasets/telegram/parte_6_telegram.csv -> ./resultados/telegram/role_prompting_parte_6.csv | Tempo: 0.12 min | Prompt tokens: 4193 | Saída tokens: 304 | Total tokens: 4497
../datasets/telegram/parte_7_telegram.csv -> ./resultados/telegram/role_prompting_parte_7.csv | Tempo: 0.10 min | Prompt tokens: 4684 | Saída tokens: 304 | Total tokens: 4988
../datasets/telegram/parte_8_telegram.csv -> ./resultados/telegram/role_prompting_parte_8.csv | Tempo: 0.27 min | Prompt tokens: 4560 | Saída tokens: 304 | Total tokens: 4864
../datasets/telegram/parte_9_telegram.csv -> ./resultados/telegram/role_prompting_parte_9.csv | Tempo: 0.12 min | Prompt tokens: 4225 | Saída tokens: 304 | Total tokens: 4529
../datasets/telegram/parte_10_telegram.csv -> ./resultados/telegram/role_prompting_parte_10.csv | Tempo: 0.12 min | Prompt tokens: 4908 | Saída tokens: 304 | Total tokens: 5212
../datasets/telegram/parte_11_telegram.csv -> ./resultados/telegram/role_prompting_parte_11.csv | Tempo: 0.12 min | Prompt tokens: 3978 | Saída tokens: 304 | Total tokens: 4282
../datasets/telegram/parte_12_telegram.csv -> ./resultados/telegram/role_prompting_parte_12.csv | Tempo: 0.15 min | Prompt tokens: 4916 | Saída tokens: 304 | Total tokens: 5220
../datasets/telegram/parte_1_telegram.csv -> ./resultados/telegram/role_prompting_parte_1.csv | Tempo: 0.15 min | Prompt tokens: 4781 | Saída tokens: 304 | Total tokens: 5085
../datasets/telegram/parte_2_telegram.csv -> ./resultados/telegram/role_prompting_parte_2.csv | Tempo: 0.16 min | Prompt tokens: 4913 | Saída tokens: 304 | Total tokens: 5217
../datasets/telegram/parte_3_telegram.csv -> ./resultados/telegram/role_prompting_parte_3.csv | Tempo: 0.15 min | Prompt tokens: 3993 | Saída tokens: 304 | Total tokens: 4297
../datasets/telegram/parte_4_telegram.csv -> ./resultados/telegram/role_prompting_parte_4.csv | Tempo: 0.15 min | Prompt tokens: 4126 | Saída tokens: 304 | Total tokens: 4430
../datasets/telegram/parte_5_telegram.csv -> ./resultados/telegram/role_prompting_parte_5.csv | Tempo: 0.14 min | Prompt tokens: 4054 | Saída tokens: 304 | Total tokens: 4358
../datasets/telegram/parte_6_telegram.csv -> ./resultados/telegram/role_prompting_parte_6.csv | Tempo: 0.12 min | Prompt tokens: 4193 | Saída tokens: 304 | Total tokens: 4497
../datasets/telegram/parte_7_telegram.csv -> ./resultados/telegram/role_prompting_parte_7.csv | Tempo: 0.17 min | Prompt tokens: 4684 | Saída tokens: 304 | Total tokens: 4988
