../datasets/telegram/parte_1_telegram.csv -> ./resultados/telegram/zeroShot_parte_1.csv | Tempo: 0.15 min | Prompt tokens: 4626 | Saída tokens: 356 | Total tokens: 4982
../datasets/telegram/parte_2_telegram.csv -> ./resultados/telegram/zeroShot_parte_2.csv | Tempo: 0.16 min | Prompt tokens: 4758 | Saída tokens: 356 | Total tokens: 5114
../datasets/telegram/parte_3_telegram.csv -> ./resultados/telegram/zeroShot_parte_3.csv | Tempo: 0.15 min | Prompt tokens: 3838 | Saída tokens: 356 | Total tokens: 4194
../datasets/telegram/parte_4_telegram.csv -> ./resultados/telegram/zeroShot_parte_4.csv | Tempo: 0.19 min | Prompt tokens: 3971 | Saída tokens: 356 | Total tokens: 4327
../datasets/telegram/parte_5_telegram.csv -> ./resultados/telegram/zeroShot_parte_5.csv | Tempo: 0.18 min | Prompt tokens: 3899 | Saída tokens: 356 | Total tokens: 4255
../datasets/telegram/parte_6_telegram.csv -> ./resultados/telegram/zeroShot_parte_6.csv | Tempo: 0.12 min | Prompt tokens: 4038 | Saída tokens: 356 | Total tokens: 4394
../datasets/telegram/parte_7_telegram.csv -> ./resultados/telegram/zeroShot_parte_7.csv | Tempo: 0.17 min | Prompt tokens: 4529 | Saída tokens: 356 | Total tokens: 4885
../datasets/telegram/parte_8_telegram.csv -> ./resultados/telegram/zeroShot_parte_8.csv | Tempo: 0.12 min | Prompt tokens: 4405 | Saída tokens: 356 | Total tokens: 4761
../datasets/telegram/parte_9_telegram.csv -> ./resultados/telegram/zeroShot_parte_9.csv | Tempo: 0.15 min | Prompt tokens: 4070 | Saída tokens: 356 | Total tokens: 4426
../datasets/telegram/parte_10_telegram.csv -> ./resultados/telegram/zeroShot_parte_10.csv | Tempo: 0.19 min | Prompt tokens: 4753 | Saída tokens: 356 | Total tokens: 5109
../datasets/telegram/parte_11_telegram.csv -> ./resultados/telegram/zeroShot_parte_11.csv | Tempo: 0.15 min | Prompt tokens: 3823 | Saída tokens: 356 | Total tokens: 4179
../datasets/telegram/parte_12_telegram.csv -> ./resultados/telegram/zeroShot_parte_12.csv | Tempo: 0.15 min | Prompt tokens: 4761 | Saída tokens: 356 | Total tokens: 5117
