id,text_content_anonymous,rotulo_modelo
1101,Perfeito o trabalho feito por vocês aumentou significativamente a aceitação do presidente ao eleitorado baiano.,0
351,"é mesmo, nunca exclui ninguém da minha rede por ser de esquerda",1
2735,"Seu merda, aqui estamos falando de Bolsonaro, não de Romário que é outro merda. Vc é conservador de comunista. Babaca. Vai procurar sua turma, aqui não é seu lugar.",1
1839,Subversão uma ova!!!! É o povo pedindo Lulaladrao e sua quadrilha Nãoooooo!!!!! :prohibited::prohibited::prohibited::prohibited::prohibited::prohibited::cross_mark::cross_mark::cross_mark::cross_mark::cross_mark::cross_mark::cross_mark::cross_mark::cross_mark:,1
930,"Bols9baro tem votos até 2017, o problema é a fraude que a direita aceitou de bom grato",0
2071,"O Messias retornará quando os judeus se converterem ao Cristianismo, o sionismo é uma seita satânica.",1
1191,"e outra coisa, Romanos 13 diz o seguinte:

Toda a alma esteja sujeita às potestades superiores; porque não há potestade que não venha de Deus; e as potestades que há foram ordenadas por Deus. Por isso quem resiste à potestade resiste à ordenação de Deus; e os que resistem trarão sobre si mesmos a condenação. Porque os magistrados não são terror para as boas obras, mas para as más. Queres tu, pois, não temer a potestade? Faze o bem, e terás louvor dela. Porque ela é ministro de Deus para teu bem. Mas, se fizeres o mal, teme, pois não traz debalde a espada; porque é ministro de Deus, e vingador para castigar o que faz o mal. Portanto é necessário que lhe estejais sujeitos, não somente pelo castigo, mas também pela consciência.

Romanos 13:1-5",0
1304,Amei meus candidatos. Glória a DEUS ALELUIA ALELUIA aleluia! Viva CRISTO REI NOSSO SALVADOR LIBERTADOR E REDENTOR ALELUIA ALELUIA ALELUIA,0
1074,"Valeu!
Estava precisando dessa informação pra enviar a uma pessoa que me disse que não votaria no PR e uma das razões era a tal Fakenews do MEC que a esquerda está espalhando.",0
1624,"sabemos q Bolsonaro tem todos os votos que precisa,  pelo que todos os brasileiro vimos nas ruas nos últimos meses, se não for voto em cédulas de papel igual era antes deste lixos de urnas a luladrão fica muito difícil pelo oque estamos vendo hoje, esperamos q as atitude cabíveis não seja tomadas quando os votos do Bolsonaro for para o ladrão no segundo turno isto e obvio q acusara um guerra civil e é isto que n queremos sendo q pode ser evitado , também sabemos q Bolsonaro sabe oque esta fazendo eu sou 22",1
405,"Bonoro vai levar de todo jeito, Brasil é abençoado por Deus!",0
1601,"[USER]
Expulsa esse esquerdopata
Eles acham que acreditamos nas mentiras deles !",1
2761,"Aviso aos lulistas infiltrados no grupo: TODOS serão banidos e denunciados sem segunda chance. Este é o meu canal e somos defensores incondicionais de Deus, pátria, família, vida e liberdade! Sou católico e absolutamente anticomunista. Quem estiver contra será excluído. :oncoming_fist:",1
1733,"Nao sei o q está Petezada vem fazer num canal de direita, nos de direita não invadimos seus canais mesmo pq lá s o da M*",1
2352,"RAPAZ :eyes::fire:... o buraco é bem mais embaixo.. 

Alexandre de Moraes usou um perfil famoso da esquerdalha que é lado a lado com o Janones, como justificativa para desconsiderar a provas que o Bolsonaro apresentou sobre as inserções...

VAI VENDO...",0
1894,"Esse idiota , jumento petista ainda acredita que os cristãos vão cair nesta baboseira. Cristão convertido não vota em bandido ....",1
2891,"A menina saiu de Cuba uma ditadura esquerdista socialista comunista, para ser perseguida pela ditadura do Brasil que nem foi instaurado ainda.",1
322,":orange_square:  TWITTER  :orange_square:

:speaking_head: Leandro Ruschel :Brazil::United_States::Italy::Germany:
:newspaper: #[USER]

A campanha do Lula já está dando uma amostra do que o ex-presidiário buscará, caso chegue ao poder: total censura das redes sociais.

Com conivência da justiça eleitoral, aparelhada pela esquerda, estamos observando a maior onda de censura já vista numa campanha.

:watch: 05/10/2022 - 07:46:18
via Twitter for Android
Ver no Twitter :window:",0
2441,"Só dei o papo pra vc parar de perde tempo,mas se o seu QI negativo manda vc continuar? Apenas continue pq já virou uma diversão ver vcs se humilhando no grupo da direita",1
1774,"Como que a Venezuela e comunista e existe estado lá? Como a Venezuela e socialista e existe milhares de empresas privada lá? Explica esse fenômeno pra mim?:face_with_tears_of_joy:

Responde corre não??",0
