../datasets/telegram/parte_1_telegram.csv → ./resultados/telegram/gemini_zeroShot_parte_1.csv | Tempo: 0.07 min
../datasets/telegram/parte_2_telegram.csv → ./resultados/telegram/gemini_zeroShot_parte_2.csv | Tempo: 0.05 min
../datasets/telegram/parte_3_telegram.csv → ./resultados/telegram/gemini_zeroShot_parte_3.csv | Tempo: 0.05 min
../datasets/telegram/parte_4_telegram.csv → ./resultados/telegram/gemini_zeroShot_parte_4.csv | Tempo: 0.05 min
../datasets/telegram/parte_5_telegram.csv → ./resultados/telegram/gemini_zeroShot_parte_5.csv | Tempo: 0.05 min
../datasets/telegram/parte_6_telegram.csv → ./resultados/telegram/gemini_zeroShot_parte_6.csv | Tempo: 0.06 min
../datasets/telegram/parte_7_telegram.csv → ./resultados/telegram/gemini_zeroShot_parte_7.csv | Tempo: 0.05 min
../datasets/telegram/parte_8_telegram.csv → ./resultados/telegram/gemini_zeroShot_parte_8.csv | Tempo: 0.05 min
../datasets/telegram/parte_9_telegram.csv → ./resultados/telegram/gemini_zeroShot_parte_9.csv | Tempo: 0.05 min
../datasets/telegram/parte_10_telegram.csv → ./resultados/telegram/gemini_zeroShot_parte_10.csv | Tempo: 0.05 min
../datasets/telegram/parte_11_telegram.csv → ./resultados/telegram/gemini_zeroShot_parte_11.csv | Tempo: 0.05 min
../datasets/telegram/parte_12_telegram.csv → ./resultados/telegram/gemini_zeroShot_parte_12.csv | Tempo: 0.05 min
