../datasets/wpp/parte_1_wpp.csv -> ./resultados/wpp/zero_shot_parte_1.csv | Tempo: 0.15 min | Prompt tokens: 4366 | Saída tokens: 356 | Total tokens: 4722
../datasets/wpp/parte_2_wpp.csv -> ./resultados/wpp/zero_shot_parte_2.csv | Tempo: 0.16 min | Prompt tokens: 3732 | Saída tokens: 356 | Total tokens: 4088
../datasets/wpp/parte_3_wpp.csv -> ./resultados/wpp/zero_shot_parte_3.csv | Tempo: 0.14 min | Prompt tokens: 3761 | Saída tokens: 356 | Total tokens: 4117
../datasets/wpp/parte_4_wpp.csv -> ./resultados/wpp/zero_shot_parte_4.csv | Tempo: 0.18 min | Prompt tokens: 3177 | Saída tokens: 356 | Total tokens: 3533
../datasets/wpp/parte_5_wpp.csv -> ./resultados/wpp/zero_shot_parte_5.csv | Tempo: 0.15 min | Prompt tokens: 3254 | Saída tokens: 356 | Total tokens: 3610
../datasets/wpp/parte_6_wpp.csv -> ./resultados/wpp/zero_shot_parte_6.csv | Tempo: 0.18 min | Prompt tokens: 3369 | Saída tokens: 356 | Total tokens: 3725
../datasets/wpp/parte_7_wpp.csv -> ./resultados/wpp/zero_shot_parte_7.csv | Tempo: 0.12 min | Prompt tokens: 3229 | Saída tokens: 356 | Total tokens: 3585
../datasets/wpp/parte_8_wpp.csv -> ./resultados/wpp/zero_shot_parte_8.csv | Tempo: 0.17 min | Prompt tokens: 4401 | Saída tokens: 356 | Total tokens: 4757
../datasets/wpp/parte_9_wpp.csv -> ./resultados/wpp/zero_shot_parte_9.csv | Tempo: 0.11 min | Prompt tokens: 3213 | Saída tokens: 356 | Total tokens: 3569
../datasets/wpp/parte_10_wpp.csv -> ./resultados/wpp/zero_shot_parte_10.csv | Tempo: 0.13 min | Prompt tokens: 4122 | Saída tokens: 356 | Total tokens: 4478
../datasets/wpp/parte_11_wpp.csv -> ./resultados/wpp/zero_shot_parte_11.csv | Tempo: 0.17 min | Prompt tokens: 3933 | Saída tokens: 356 | Total tokens: 4289
../datasets/wpp/parte_12_wpp.csv -> ./resultados/wpp/zero_shot_parte_12.csv | Tempo: 0.14 min | Prompt tokens: 3825 | Saída tokens: 356 | Total tokens: 4181
