id,text_content_anonymous,rotulo_modelo
2010,"Esse kara parece que me ouviu falar ha 6 meses atras.

Eu preocupado com as urnas e fraudes
Tambem com o exercito brasileiro

Lamento dizer
O EXERCITO BRASILEIRO NAO APOIA BOLSONARO

ESQUEÇAM ISSO
ELES NUNCA SE MANIFESTARAM VERDADEIRAMENTE AO LADO DO BOLSONARO

E SENDO ELES QUE ESCONTRARAM FRAUDE NAO SE MANIFESTARAM A FAVOR DO POVO

PENSEM COMIGO

16 ANOS QUE O CORRUPTO LULADRAO ALICIA ESSA CLASSE

BOZO TEM APENA 4 ANOS E NAO COMPROU O EXÉRCITO 
HA 1 ANO ATRAS  MEU DISCURSO É:

CUIDADO COM AS URNAR 
POEM AGENTES DO BOZO PARA FISCALIZAR 
NAO DEIXA A LA VONTÊ NAS MAS DO STE E SINDICATO DOS TRABALHADORES E GLOBOBUNDA, ETC

CUIDADO COM O EXERCITO

BOM
O RESULTADO FOI 
FRAUDES

EI ZESONARO
É MELHOR  VOCE E  SEUS FILHOS FICAREM ASSIM Ô
 DE :eye::eye: :eye::eye: :eye::eye: NAS URNAS 
SENAO ELES VAO TE DA BALINHAS PRA CHUPAR E VC IRA SAIR PRA FAZER CAMPANHA DE NOVO E VAI ESQUECER DO ELEMENTO QUE TE DERROTOU NO PRIMEIRO TURNA

A S    U R N A S",0
1423,Sou nordestino mas infelizmente o nordeste é a desgraça do país a grande maioria das pessoas daqui são muito burras tenho vergonha desse povo,1
398,"Muitos serão escolhidos, mas nem todos serão salvos. Que Deus tenha misericórdia de nós.:folded_hands_medium_skin_tone:",0
190,"Comando vermelho declara apoio à Lula e Freixo na quadra da Mangueira
 Gente, olha a situação do Rio:backhand_index_pointing_up_medium_skin_tone::backhand_index_pointing_up_medium_skin_tone::backhand_index_pointing_up_medium_skin_tone: tire suas conclusões se o Lula, o PT e toda a esquerda é ou não uma organização criminosa. Dia 02 vote consciente. Só temos uma única alternativa 22 Bolsonaro.",1
1624,Dai acabou e vamos culpar os nordestino e barco q segue,1
1354,"Calma gente até foram apuradas apenas 20% das URNAS, AINDA FALTA MUITO MUITO. PATRIOTAS O PT É UM PARTIDO GRANDE E TÊM MILITÂNCIA, ELA AINDA É FORTE E TÊM MUITA FORÇA. NÓS SOMOS APENAS UM MOVIMENTO DA DIREITA CONSERVADORA, NÓS NÃO TÊMOS PARTIDO PRA ORIENTAR, CENTRALIZAR E ORGANIZAR OS PATRIOTAS PARA UMA DISPUTA ELEITORAL GRANDE COMO ESSA. NÓS ESTAMOS UNIDOS PELO PATRIOTISMO E POR UM SENTIMENTO DE REVOLTA POR TUDO TUDO QUE ACONTECEU NO BRASIL NO GOVERNO PT AO LONGO DOS ANOS.",1
1775,"Até agora, é show do Presidente Bolsonaro pelo Senado nos Estados 

*1) Damares Alves no DF
*2) Ministra Tereza Cristina no MT do Sul do Progressista.
*3) Cleitinho em Minas Gerais do PL
*4) Marcos Pontes em São Paulo 
*5) Mourão no RS Republicano
*6) Ministro Rogério do PL Marinho no RN 
*6) Coronel Menezes no AM do PL
*7) Jorge Seif em SC do PL
*8) Wilde Morais em GO do PL
*9) Wellington Fagundes no Mato Grosso do PL
*10) Jaime Bagattoli em RO do PL",0
2762,"E tem imbecil petralha, idiota que defende esse asqueroso",1
2408,"Kkkk
Senador Magno,
O Lula, não sabe levantar de madrugada porque ele não trabalhou na vida,
Não ora para Deus vivo,a bíblia nós manda levantar pelas madrugadas para orar!
O Lula, vai para os centro de macumba fazer despacho de bode preto antes dá meia noite nas encruzilhada e cemitério.",1
1851,Gente poderíamos montar uma página de direita no Instagram ou cada um monta um perfil de direita no Instagram e la colocamos tudo a favor do bolsonaro,0
2750,"independente do resultado,  vamos lembrar destes versículos: 

_Ainda que eu andasse pelo vale da sombra da morte, não temeria mal algum, porque tu estás comigo; a tua vara e o teu cajado me consolam.  Salmos 23:4_  

_...e eis que eu estou convosco todos os dias, até a consumação dos séculos. Amém. Mateus 28:20b_

Nós temos o cuidado de Deus e que tenha misericórdia do nosso querido pais!",0
