../datasets/wpp/parte_1_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_1.csv | Tempo: 0.16 min | Prompt tokens: 4474 | Saída tokens: 356 | Total tokens: 4830
../datasets/wpp/parte_2_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_2.csv | Tempo: 0.21 min | Prompt tokens: 3840 | Saída tokens: 356 | Total tokens: 4196
../datasets/wpp/parte_3_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_3.csv | Tempo: 0.17 min | Prompt tokens: 3869 | Saída tokens: 356 | Total tokens: 4225
../datasets/wpp/parte_4_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_4.csv | Tempo: 0.22 min | Prompt tokens: 3285 | Saída tokens: 356 | Total tokens: 3641
../datasets/wpp/parte_5_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_5.csv | Tempo: 0.20 min | Prompt tokens: 3362 | Saída tokens: 356 | Total tokens: 3718
../datasets/wpp/parte_6_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_6.csv | Tempo: 0.17 min | Prompt tokens: 3477 | Saída tokens: 356 | Total tokens: 3833
../datasets/wpp/parte_7_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_7.csv | Tempo: 0.14 min | Prompt tokens: 3337 | Saída tokens: 356 | Total tokens: 3693
../datasets/wpp/parte_8_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_8.csv | Tempo: 0.14 min | Prompt tokens: 4509 | Saída tokens: 356 | Total tokens: 4865
../datasets/wpp/parte_9_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_9.csv | Tempo: 0.17 min | Prompt tokens: 3321 | Saída tokens: 356 | Total tokens: 3677
../datasets/wpp/parte_10_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_10.csv | Tempo: 0.19 min | Prompt tokens: 4230 | Saída tokens: 356 | Total tokens: 4586
../datasets/wpp/parte_11_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_11.csv | Tempo: 0.16 min | Prompt tokens: 4041 | Saída tokens: 356 | Total tokens: 4397
../datasets/wpp/parte_12_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_12.csv | Tempo: 0.26 min | Prompt tokens: 3933 | Saída tokens: 356 | Total tokens: 4289
../datasets/wpp/parte_1_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_1.csv | Tempo: 0.19 min | Prompt tokens: 4474 | Saída tokens: 356 | Total tokens: 4830
../datasets/wpp/parte_2_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_2.csv | Tempo: 0.20 min | Prompt tokens: 3840 | Saída tokens: 356 | Total tokens: 4196
../datasets/wpp/parte_3_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_3.csv | Tempo: 0.16 min | Prompt tokens: 3869 | Saída tokens: 356 | Total tokens: 4225
../datasets/wpp/parte_4_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_4.csv | Tempo: 0.15 min | Prompt tokens: 3285 | Saída tokens: 356 | Total tokens: 3641
../datasets/wpp/parte_5_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_5.csv | Tempo: 0.17 min | Prompt tokens: 3362 | Saída tokens: 356 | Total tokens: 3718
../datasets/wpp/parte_6_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_6.csv | Tempo: 0.18 min | Prompt tokens: 3477 | Saída tokens: 356 | Total tokens: 3833
../datasets/wpp/parte_7_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_7.csv | Tempo: 0.16 min | Prompt tokens: 3337 | Saída tokens: 356 | Total tokens: 3693
../datasets/wpp/parte_8_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_8.csv | Tempo: 0.17 min | Prompt tokens: 4509 | Saída tokens: 356 | Total tokens: 4865
../datasets/wpp/parte_9_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_9.csv | Tempo: 0.24 min | Prompt tokens: 3321 | Saída tokens: 356 | Total tokens: 3677
../datasets/wpp/parte_10_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_10.csv | Tempo: 0.21 min | Prompt tokens: 4230 | Saída tokens: 356 | Total tokens: 4586
../datasets/wpp/parte_11_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_11.csv | Tempo: 0.15 min | Prompt tokens: 4041 | Saída tokens: 356 | Total tokens: 4397
../datasets/wpp/parte_12_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_12.csv | Tempo: 0.17 min | Prompt tokens: 3933 | Saída tokens: 356 | Total tokens: 4289
../datasets/wpp/parte_1_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_1.csv | Tempo: 0.13 min | Prompt tokens: 4474 | Saída tokens: 356 | Total tokens: 4830
../datasets/wpp/parte_2_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_2.csv | Tempo: 0.15 min | Prompt tokens: 3840 | Saída tokens: 356 | Total tokens: 4196
../datasets/wpp/parte_3_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_3.csv | Tempo: 0.16 min | Prompt tokens: 3869 | Saída tokens: 356 | Total tokens: 4225
../datasets/wpp/parte_4_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_4.csv | Tempo: 0.13 min | Prompt tokens: 3285 | Saída tokens: 356 | Total tokens: 3641
../datasets/wpp/parte_5_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_5.csv | Tempo: 0.13 min | Prompt tokens: 3362 | Saída tokens: 356 | Total tokens: 3718
../datasets/wpp/parte_6_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_6.csv | Tempo: 0.14 min | Prompt tokens: 3477 | Saída tokens: 356 | Total tokens: 3833
../datasets/wpp/parte_7_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_7.csv | Tempo: 0.17 min | Prompt tokens: 3337 | Saída tokens: 356 | Total tokens: 3693
../datasets/wpp/parte_8_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_8.csv | Tempo: 0.14 min | Prompt tokens: 4509 | Saída tokens: 356 | Total tokens: 4865
../datasets/wpp/parte_9_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_9.csv | Tempo: 0.16 min | Prompt tokens: 3321 | Saída tokens: 356 | Total tokens: 3677
../datasets/wpp/parte_10_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_10.csv | Tempo: 0.14 min | Prompt tokens: 4230 | Saída tokens: 356 | Total tokens: 4586
../datasets/wpp/parte_11_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_11.csv | Tempo: 0.11 min | Prompt tokens: 4041 | Saída tokens: 356 | Total tokens: 4397
../datasets/wpp/parte_12_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_12.csv | Tempo: 0.12 min | Prompt tokens: 3933 | Saída tokens: 356 | Total tokens: 4289
../datasets/wpp/parte_1_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_1.csv | Tempo: 0.18 min | Prompt tokens: 8166 | Saída tokens: 356 | Total tokens: 8522
../datasets/wpp/parte_2_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_2.csv | Tempo: 0.17 min | Prompt tokens: 7532 | Saída tokens: 356 | Total tokens: 7888
../datasets/wpp/parte_3_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_3.csv | Tempo: 0.14 min | Prompt tokens: 7561 | Saída tokens: 356 | Total tokens: 7917
../datasets/wpp/parte_4_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_4.csv | Tempo: 0.13 min | Prompt tokens: 6977 | Saída tokens: 356 | Total tokens: 7333
../datasets/wpp/parte_5_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_5.csv | Tempo: 0.15 min | Prompt tokens: 7054 | Saída tokens: 356 | Total tokens: 7410
../datasets/wpp/parte_6_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_6.csv | Tempo: 0.18 min | Prompt tokens: 7169 | Saída tokens: 356 | Total tokens: 7525
../datasets/wpp/parte_7_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_7.csv | Tempo: 0.15 min | Prompt tokens: 7029 | Saída tokens: 356 | Total tokens: 7385
../datasets/wpp/parte_8_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_8.csv | Tempo: 0.16 min | Prompt tokens: 8201 | Saída tokens: 356 | Total tokens: 8557
../datasets/wpp/parte_9_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_9.csv | Tempo: 0.13 min | Prompt tokens: 7013 | Saída tokens: 356 | Total tokens: 7369
../datasets/wpp/parte_10_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_10.csv | Tempo: 0.14 min | Prompt tokens: 7922 | Saída tokens: 356 | Total tokens: 8278
../datasets/wpp/parte_11_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_11.csv | Tempo: 0.14 min | Prompt tokens: 7733 | Saída tokens: 356 | Total tokens: 8089
../datasets/wpp/parte_12_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_12.csv | Tempo: 0.15 min | Prompt tokens: 7625 | Saída tokens: 356 | Total tokens: 7981
../datasets/wpp/parte_1_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_1.csv | Tempo: 0.20 min | Prompt tokens: 8166 | Saída tokens: 356 | Total tokens: 8522
../datasets/wpp/parte_2_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_2.csv | Tempo: 0.14 min | Prompt tokens: 7532 | Saída tokens: 356 | Total tokens: 7888
../datasets/wpp/parte_3_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_3.csv | Tempo: 0.14 min | Prompt tokens: 7561 | Saída tokens: 356 | Total tokens: 7917
../datasets/wpp/parte_4_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_4.csv | Tempo: 0.13 min | Prompt tokens: 6977 | Saída tokens: 356 | Total tokens: 7333
../datasets/wpp/parte_5_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_5.csv | Tempo: 0.14 min | Prompt tokens: 7054 | Saída tokens: 304 | Total tokens: 7358
../datasets/wpp/parte_6_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_6.csv | Tempo: 0.44 min | Prompt tokens: 7169 | Saída tokens: 356 | Total tokens: 7525
../datasets/wpp/parte_7_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_7.csv | Tempo: 0.19 min | Prompt tokens: 7029 | Saída tokens: 356 | Total tokens: 7385
../datasets/wpp/parte_8_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_8.csv | Tempo: 0.16 min | Prompt tokens: 8201 | Saída tokens: 356 | Total tokens: 8557
../datasets/wpp/parte_9_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_2_parte_9.csv | Tempo: 0.19 min | Prompt tokens: 7013 | Saída tokens: 356 | Total tokens: 7369
