id,text_content_anonymous,rotulo_modelo
1198,"Bom dia gente! Brasil acima de tudo, Deus acima de todos! :Brazil:",0
1947,"Vamos derrubar a página desse imbecil pessoal, não somos da laia deles, mas podemos impedir ele de falar merda e ficar por isso mesmo",1
1700,Quero ver o nordestino indo para São Paulo atrás de emprego,1
2657,"Bozo com o poder , a nossa sorte é que ele é muito burro",0
1399,Eu sou nordestina. E voltei e vou votar no capitão quantas vezes precisar,0
138,"GOVERNADOR CLÁUDIO CASTRO TAMBÉM ESTÁ COM A GENTE

:Brazil: SE VOCÊ APOIA O NOSSO PRESIDENTE JAIR BOLSONARO, O GOVERNADOR CLÁUDIO CASTRO E O FUTURO SENADOR DANIEL SILVEIRA, VOCÊ TAMBÉM FAZ PARTE DA FAMÍLIA JORDY!  :thumbs_up::Brazil::clapping_hands:

:backhand_index_pointing_down::backhand_index_pointing_down::backhand_index_pointing_down::backhand_index_pointing_down::backhand_index_pointing_down::backhand_index_pointing_down::backhand_index_pointing_down::backhand_index_pointing_down::backhand_index_pointing_down:
:Brazil: RENAN JORDY :keycap_2::keycap_2::keycap_1::keycap_1::keycap_1: 
:Brazil: CARLOS JORDY  :keycap_2::keycap_2::keycap_1::keycap_1:
:Brazil: DANIEL SILVEIRA :keycap_1::keycap_4::keycap_2:
:Brazil: CLÁUDIO CASTRO :keycap_2::keycap_2:
:Brazil: JAIR BOLSONARO  :keycap_2::keycap_2:

:police_car_light:COMPARTILHE COM O MÁXIMO DE PATRIOTAS E AJUDE O BRASIL A FICAR LIVRE DO LULADRÃO, MARCELO FROUXO, ENTRE OUTROS CRÁPULAS QUE SÓ ASSOLAM O PAÍS.",1
1226,"Amigos,
Enquanto discutimos Eleições, Lyra, Ciro Nogueira, Bivar e ACM Neto dão GOLPE e criam o Parlamentarismo, com a União dos Partidos PP & UNIÃO, vão ser mais de 80% da Câmara e no Senado perto disso, simplesmente hoje não teremos presidente mas sim um Mamulengo nas Mãos do Centrão, acabou oposição e junto a Esquerda.",0
2580,"Já que Xandão do PCC mandou prender Roberto Jefferson por ter falado ""palavras elogiosas"" a Bruxa do STF, por que não mandou prender a Esquerdopata que chamou a filha do presidente de Puta?",1
1305,"Vamos orar , Deus fará maravilhas no meio do povo , se Deus eh por nós quem será contra nós :raising_hands:",0
1693,Não foi normal,0
1234,O problema seu demagogo hipocrita: a bandeira do brasil   Nunca foi valorizada pelo pt..a causa desse filho puta e o foro de São Paulo e a dominação da América Latina . Quando que Lula usou o verde e amarelo nas suas campanhas? Nunca,1
