id,text_content_anonymous,rotulo_modelo
141,Parabéns à todos os eleitores bolsonarista que estão disseminando ódio contra a população nordestina.  Só se esqueceram que o NORDESTE É  O QUARTO MAIOR COLÉGIO ELEITORAL DO BRASIL e com isso vocês perdem  votos que poderiam ser do presidente Bolsonaro .,1
2706,"O INFORMANTE  - Quando você é assimilado dentro de uma seita, o seu pensamento critico desaparece.",0
1607,"Novidade seria algum crápula igual ao Dória ir apoiar ao Bolsonaro, agora a esquerda se lamber após o teatrinho de oposição, isto já assistimos tem 40 anos.",0
813,"Pessoal, faço um apelo 
POR FAVOR

NÃO votem em Romário
ele sempre foi e é SOCIALISTA

VOTEM DANIEL SILVEIRA 1441
Ele é o ÚNICO CONSERVADOR
VAMOS MARCAR POSIÇÃO, pessoal!",0
56,"O Lula defende da saúde pública fazer aborto, defende a legalização de drogas, defende criminosos como se o cidadão de bem fosse o culpado, defende invasão de propriedades privadas rurais e urbanas, defende ideologia de gênero ensinada a crianças desde a infância, é contra a classe média por ostentar mais de uma TV em casa enquanto ele vive numa vida de luxo (casamento com gastos de 500 mil reais, relógio de pulso de 80 mil reais, vive numa mansão de 20 mil reais de aluguel por mês, toma vinhos de 5 mil reais ou mais a garrafa), contra privatizações,  e tudo mais de ruim para a população além da comprovada corrupção sistêmica de quando o PT governou o país com desvio de mais de trilhão de reais (só para países do foro de São Paulo foram 50 bilhões de reais).",0
1156,"Cristãos do Brasil, nós somos A MAIORIA.

Neste dia 02 de Outubro, escolha os candidatos que defendam os valores do cristianismo, sobretudo a vida.

Rejeite os candidatos de esquerda, os abortistas e aqueles comprometidos com ideologias que perseguem os cristãos.

BOM VOTO! :Brazil:",0
1172,"Vamos trabalhar povo pelo nosso Brasil. Espalhem vídeos áudios. No telegram, Instagram  Facebook. Para depois não se arrepender. Vamos gritar bem alto para todo mundo ouvir. BRASIL ACIMA DE TUDO E DEUS ACIMA DE TODOS.:Brazil::Brazil::Brazil::Brazil::rolling_on_the_floor_laughing:",0
597,Credo!!!essa voz desse ser parece a voz do demo.....sangue de Jesus é  poderoso....jesus eu confio em voz......afasta de nós o maligno!!!!,0
629,"Só temos essa noite, pessoal
ESQUEÇAM Romário e Clarissa

VAMOS TODOS E DANIEL 142
e CONFIAR EM DEUS e SOMENTE NELE!",0
1737,"Ovo de Morais dando entrevista na Pan,comparando as Eleições como se fosse time de futebol...O cara todo confortável, sabendo que o poder tá nas mãos dele,tipo ninguém vai poder constetar resultados,vão ter que aceitar o resultado,mesmo estando errado...Pois é democracia né...Por isso Luladrao esta tranquilo,e alugaram até a Paulista.",0
1770,A esquerda e sem escrúpulos! E utilizam de todos os meios para dividir os patriotas e cristãos! Não deixem eles atingirem seus objetivos! Muitos patriotas desistiram ao verem as filas longas na eleição. Os esquerdistas ficaram até o fim para elegerem o Ladrão deles! PT não é um partido! É uma organização! E tem alguns aqui no grupo e é fácil de identificar eles!,0
2841,"Bom dia, alguém teria a matéria da operação quebra ossos onde fala o nome do senador do PV e dos prefeitos, apoiadores do luladrao, preciso mandar para os indecisos e uns ptralhas.",0
2527,"Lembra da maquina de propaganda de hitler para culpar comunistas e judeus, sendo aquele demonio mesmo comunista e judeu??? Pois bem, o palhaço presidente da Ucrânia está fazendo a mesma coisa e poucos percebem. Ele é fantoche da elite papal e faz aquilo que o papado quer, e ele quer uma guerra mundial assim como foi a última, pois o cerco está se fechando para ele.",0
124,"Quer dizer que em sua decisão o [USER] reconhece que o ditador Daniel Ortega é amigo e aliado do Lula? Interessante...
#LulaNuncaMais 
#BolsonaroReeleito:keycap_2::keycap_2:

Canal
[USER]:Brazil:",0
464,Será mesmo que esse :mouse_face: rato estava com ponto eletrônico?!? Meus Deus é safadeza de todo lado destes canalhas,1
271,Ótimo ! que Deus e seus Anjos  quebrem as forças do Mal que querem nos Dominar,0
2605,"CNBB covil de esquerdopatas,  comunistas,  ligados à teologia da libertação.... PAGARÃO NO FOGO DO INFERNO",1
741,Eu sou e enquanto eu existir serei Jair Mércia de Bolsonaro que o senhor e salvador Jesus Cristo continue abençoando ele e todos de sua família e os candidatos eleitos que fazem parte dessa linda e abençoada família bolsonarista,0
2417,"gente será que estamos no caminho certo?  aqui todos ou quase somos Bolsonaro , vamos pegar os vídeos mais impactantes do Larapio, são diversos, o cara é podre,  é jogar nos grupos de esquerda. A arma do comunismo é a desinformação, quem puder e tem link de grupos de  esquerda passa aqui",0
