id,text_content_anonymous,rotulo_modelo
1406,"E Bolsonaro estacionou foi??? Eu em!!! Isso é estranho, parou de contar para ele?",0
502,"Eu sou Vivi Tobias, candidata a deputada federal  2838 e não uso dinheiro público e conclamo aos cristãos do nosso MS a cerrarem fileiras junto comigo nessa luta do bem contra o mal. 


“Que Deus abençoe nossa nação, que Deus abençoe o Mato Grosso do Sul”",0
2719,"DESCULPEM. NÃO ESTOU MAIS AGUETANDO. A TAL GLOBO TV ( blog do Lisboa) já deu o resultado das URNAS DE DOMINGO! E VITORIO PARA O MELIANTE MAIOR LULADRÃO???, ISSO E ATÉ "" DEBOCHE PURO"", CONTRA CIDADÃOS DE BEM",1
1522,"Com certeza meu irmão e esse Ladrão não assume a presidência em nome do Senhor JESUS CRISTO, eu creio!!:folded_hands_dark_skin_tone::folded_hands_dark_skin_tone::folded_hands_dark_skin_tone::raising_hands_dark_skin_tone::raising_hands_dark_skin_tone::raising_hands_dark_skin_tone:",1
1187,"Bom dia!
Que Deus abençoe nossa Nação, que seja um dia tranquilo e que mais tarde possamos comemorar a reeleição do do nosso presidente :folded_hands_medium-dark_skin_tone::folded_hands_medium-dark_skin_tone::Brazil::Brazil:",0
2055,"Eles vão tentar de tudo, como disse a anta terrorista Dilmentira em 2016 eles já fizeram pacto até com o diabo e estão comprometendo a nossa nação com as trevas. 
Estão inclusive colocando os crentes contra o Bolsonaro ligando o Presidente a maçonaria, tudo isso e muito mais para tentar fazer com que os crentes esqueçam os U$ bilhões que o ladrão roubou e também pra tentar fazer os crentes esquecerem que o LADRÃO MACUMBEIRO e seus idólatras xingaram muito os crentes e ele prometeu que se for eleito vai colocar padres e pastores no seu devido lugar. 

SERÁ QUE OS CRENTES JA ESQUECERAM TUDO ISSO?",1
1532,"Tudo está muito grave. Começou com a facada no Bolsonaro e foi proibido descobrir o mandante. Urnas negadas de ter votos impresso. Mordaça nos empresários, nos juízes que foram impedidos de se manifestar sobre urnas/eleições... Etc, etc...
Estávamos contando com as fraudes meu Deus do céu. Pq foram deixando isso passar???",0
1667,Infelizmente fomos roubados e o Brasil caiu nas mãos da esquerda e não o que fazer.,0
1363,"Muito estranho mesmo, porque todos que votam no Zema votam no Bolsonaro",0
296,A  esquerda   usa  de várias   artimanhas   para  confundir   o  eleitor   ! VOTE  APENAS   nos  candidatos   da  direita   e  aguarde    o resultado   ! NOSSAS  FFAA   NÃO   VAI  trair  sua  NAÇÃO   !,0
556,REPASSE ESTA ORAÇÃO E JEJUM PELO NOSSO BRASIL E PRESIDENTE JAIR MESSIAS BOLSONARO E A CADA IRMÃO EM CRISTO JESUS :smiling_face_with_halo::folded_hands_medium-light_skin_tone::red_heart::smiling_face_with_hearts:,0
252,"Isto aconteceu em 2018, na véspera do segundo turno
Quando Bolsonaro ganhou, a petezada sumiu. Pararam as invasões de imóveis",0
2753,"DIA 30/10.., NÃO VOTE EM LULADRAO…, PROTEJA A SUA FAMÍLIA.., NÃO AS DROGAS, ABORTO, CORRUPÇÃO, AOS TROMBADINHAS DE CELULAR…, E A SUA LIBERDADE..!!!! PENSE NISSO NA HORA DE VOTAR…!!!",1
1060,Leia essa matéria ... Marcola quer que o Lula vença ... Leia toda a sujeira e veja também pq o bandido condenado não vai entrar no governo ... Deus nos livre destes monstros ...,0
2336,"Facebook, não admite uma palavra contra esquerdista mas, o luladrão e seus comparsas, isso é D :plus::enraged_face::enraged_face::enraged_face::enraged_face::enraged_face::enraged_face:",1
1803,"Eu pensei, que com a diferença enorme que o Bolsonaro tinha na frente, que seria impossível do Luladrão alcança-lo. Depois de uns 60% parecia que não havia mais votos pro Bolsonaro.
Mas olha o vídeo da Bárbara do Te Atualizei, penso igual à ela, ela fala de números:",1
2885,"Kara tu é burro né
Vc Ñ ta no grupo pra saber quem é esses petistas do inferno.",1
473,"Versículo:

Justificados, pois, pela fé, tenhamos paz com Deus, por nosso Senhor Jesus Cristo, por quem obtivemos também nosso acesso pela fé a esta graça, na qual estamos firmes, e gloriemo-nos na esperança da glória de Deus.",0
2425,A esquerda é maldita. Crinosos.   Criando uma calúnia igual esta. É partir o coração com tanta injustiça contra esse homem. DEUS vai dar livramento ao nosso povo dessas mentiras  criadas pelos filhos das trevas. Eles pagarão um preço Alto. Pode apostar.,1
1277,"A TAMMY QUER SER HOMEM, O PABLO EVITAR, QUER SER MULHER, O LADRÃO DE 19DEDO QUER SER HONESTO E NÓS SOMOS OBRIGADOS A ENGOLIR, AGORA O CARA QUER SER PADRE E A ESQUERDA DIZ QUE ELE NÃO É. VÃO SER PROCESSADOS POR PADROFOBIA.",1
1678,"Pessoal é o seguinte, tomemos cuidado para não dar bad vibe, eleitores de Bolsonaro não podem desistir, precisamos nos unir, não deixar ter abstenções.
Vamos ter calma e reagrupar. 
Deus tenha misericórdia do nosso Brasil :Brazil:",0
410,":warning: O dia de tomar a melhor decisão para o nosso estado está chegando e o #Desafio1199 e o 8º desafio tem um recado muito especial!   É isso aí, dona Lú! É muito importante que o pessoal da melhor idade vote e cumpra seu papel de cidadão. Então prepare a colinha para o vô, a vó e vamos juntos de :keycap_1::keycap_1::keycap_9::keycap_9: no domingo :check_mark_button:  #AnaPaulaÉFederal #Vote1199 #AFederalQueAGentePrecisa",0
2823,Tem negócio de orar mais não orar era antes muitos cristãos falsos Cristão que voltaram nesse macumbeiro endemoniado que vão pagar um preço caro infelizmente nós vamos pagar preço com eles também,1
2054,"Pessoal, nós não vamos convencer os eleitores do Luladrão a mudar seu voto. Temos que focar nos mais de 31 milhões de abstenções e convence-los a votar  Bolsonaro. 
Aí sim ganharemos as eleições.",1
1362,"4 DEPUTADOS FEDERAIS  MAIS VOTADOS PARANÁ
DELTON
FELIPE BARROS
GLEICE
BETO PRETO 
2 PETISTAS",0
123,"2 DE OUTUBRO, 
TODOS NAS RUAS
DE VERDE E AMRELO.
:green_heart::yellow_heart:
DEPOIS DE VOTARMOS.
NA HORA DE CONTAGENS 
DOS VOTOS, 
ISSO É PARA 
REFORÇAMOS 
NOSSA VITÓRIA  
E GARANTIRMOS 
O RESULTADO. 
:Brazil:
JAIR MESSIAS BOLSONARO REELEITO!!
DEUS, PÁTRIA E FAMÍLIA 
:Brazil::green_heart::yellow_heart::blue_heart::white_heart::Brazil:
:smiling_face_with_sunglasses::backhand_index_pointing_right_light_skin_tone::backhand_index_pointing_right_light_skin_tone:",0
1400,"PESSOAL ATENÇÃO! 

SEI QUE ABALA UM POUCO TODOS NÓS VER A DIFERENÇA REDUZINDO! 

MAS ACHO QUE É CLARO PRA TODOS: 

ESTAMOS LIDANDO COM MÁFIA, QUADRILHA, BANDIDOS!

É OBVIO QUE ESTÁ HAVENDO FRAUDE! É ÓBVIO! 

TENHO DITO: SE PREPAREM PARA SAIR ÀS RUAS!

NÃO VAMOS ACEITAR ESSE SISTEMA DE VOTAÇÃO E PONTO FINAL! 

VAMOS PARAR O BRASIL!

COMECEM A DIVULGAR ISSO NOS GRUPOS! 

SE FORMOS ÀS RUAS BOLSONARO VAI ORDENAR ÀS FORÇAS ARMADAS À AGIR! 

REPITO: VAMOS TOMAR AS RUAS DO BRASIL! 

FORÇA E HONRA! 
DEUS ABENÇOE O BRASIL!  :Brazil::Brazil::Brazil:",0
