../datasets/wpp/parte_1_wpp.csv -> ./resultados/wpp/few_shot_parte_1.csv | Tempo: 0.21 min | Prompt tokens: 5962 | Saída tokens: 300 | Total tokens: 6262
../datasets/wpp/parte_2_wpp.csv -> ./resultados/wpp/few_shot_parte_2.csv | Tempo: 0.21 min | Prompt tokens: 5224 | Saída tokens: 300 | Total tokens: 5524
../datasets/wpp/parte_3_wpp.csv -> ./resultados/wpp/few_shot_parte_3.csv | Tempo: 0.21 min | Prompt tokens: 5299 | Saída tokens: 300 | Total tokens: 5599
../datasets/wpp/parte_4_wpp.csv -> ./resultados/wpp/few_shot_parte_4.csv | Tempo: 0.23 min | Prompt tokens: 4627 | Saída tokens: 356 | Total tokens: 4983
../datasets/wpp/parte_5_wpp.csv -> ./resultados/wpp/few_shot_parte_5.csv | Tempo: 0.20 min | Prompt tokens: 4748 | Saída tokens: 300 | Total tokens: 5048
../datasets/wpp/parte_6_wpp.csv -> ./resultados/wpp/few_shot_parte_6.csv | Tempo: 0.19 min | Prompt tokens: 4817 | Saída tokens: 300 | Total tokens: 5117
../datasets/wpp/parte_7_wpp.csv -> ./resultados/wpp/few_shot_parte_7.csv | Tempo: 0.19 min | Prompt tokens: 4614 | Saída tokens: 300 | Total tokens: 4914
../datasets/wpp/parte_8_wpp.csv -> ./resultados/wpp/few_shot_parte_8.csv | Tempo: 0.20 min | Prompt tokens: 5922 | Saída tokens: 300 | Total tokens: 6222
../datasets/wpp/parte_9_wpp.csv -> ./resultados/wpp/few_shot_parte_9.csv | Tempo: 0.22 min | Prompt tokens: 4620 | Saída tokens: 356 | Total tokens: 4976
../datasets/wpp/parte_10_wpp.csv -> ./resultados/wpp/few_shot_parte_10.csv | Tempo: 0.20 min | Prompt tokens: 5719 | Saída tokens: 300 | Total tokens: 6019
../datasets/wpp/parte_11_wpp.csv -> ./resultados/wpp/few_shot_parte_11.csv | Tempo: 0.20 min | Prompt tokens: 5453 | Saída tokens: 300 | Total tokens: 5753
../datasets/wpp/parte_12_wpp.csv -> ./resultados/wpp/few_shot_parte_12.csv | Tempo: 0.20 min | Prompt tokens: 5374 | Saída tokens: 294 | Total tokens: 5668
../datasets/wpp/parte_1_wpp.csv -> ./resultados/wpp/few_shot_parte_1.csv | Tempo: 0.19 min | Prompt tokens: 5962 | Saída tokens: 300 | Total tokens: 6262
../datasets/wpp/parte_2_wpp.csv -> ./resultados/wpp/few_shot_parte_2.csv | Tempo: 0.19 min | Prompt tokens: 5224 | Saída tokens: 300 | Total tokens: 5524
../datasets/wpp/parte_3_wpp.csv -> ./resultados/wpp/few_shot_parte_3.csv | Tempo: 0.19 min | Prompt tokens: 5299 | Saída tokens: 300 | Total tokens: 5599
../datasets/wpp/parte_4_wpp.csv -> ./resultados/wpp/few_shot_parte_4.csv | Tempo: 0.22 min | Prompt tokens: 4627 | Saída tokens: 356 | Total tokens: 4983
../datasets/wpp/parte_5_wpp.csv -> ./resultados/wpp/few_shot_parte_5.csv | Tempo: 0.20 min | Prompt tokens: 4748 | Saída tokens: 300 | Total tokens: 5048
../datasets/wpp/parte_6_wpp.csv -> ./resultados/wpp/few_shot_parte_6.csv | Tempo: 0.21 min | Prompt tokens: 4817 | Saída tokens: 300 | Total tokens: 5117
../datasets/wpp/parte_7_wpp.csv -> ./resultados/wpp/few_shot_parte_7.csv | Tempo: 0.21 min | Prompt tokens: 4614 | Saída tokens: 300 | Total tokens: 4914
../datasets/wpp/parte_8_wpp.csv -> ./resultados/wpp/few_shot_parte_8.csv | Tempo: 0.21 min | Prompt tokens: 5922 | Saída tokens: 300 | Total tokens: 6222
../datasets/wpp/parte_9_wpp.csv -> ./resultados/wpp/few_shot_parte_9.csv | Tempo: 0.24 min | Prompt tokens: 4620 | Saída tokens: 356 | Total tokens: 4976
../datasets/wpp/parte_10_wpp.csv -> ./resultados/wpp/few_shot_parte_10.csv | Tempo: 0.20 min | Prompt tokens: 5719 | Saída tokens: 300 | Total tokens: 6019
../datasets/wpp/parte_11_wpp.csv -> ./resultados/wpp/few_shot_parte_11.csv | Tempo: 0.22 min | Prompt tokens: 5453 | Saída tokens: 300 | Total tokens: 5753
../datasets/wpp/parte_12_wpp.csv -> ./resultados/wpp/few_shot_parte_12.csv | Tempo: 0.20 min | Prompt tokens: 5374 | Saída tokens: 294 | Total tokens: 5668
../datasets/wpp/parte_1_wpp.csv -> ./resultados/wpp/few_shot_parte_1.csv | Tempo: 0.22 min | Prompt tokens: 5972 | Saída tokens: 300 | Total tokens: 6272
../datasets/wpp/parte_2_wpp.csv -> ./resultados/wpp/few_shot_parte_2.csv | Tempo: 0.23 min | Prompt tokens: 5234 | Saída tokens: 356 | Total tokens: 5590
../datasets/wpp/parte_3_wpp.csv -> ./resultados/wpp/few_shot_parte_3.csv | Tempo: 0.19 min | Prompt tokens: 5309 | Saída tokens: 300 | Total tokens: 5609
../datasets/wpp/parte_4_wpp.csv -> ./resultados/wpp/few_shot_parte_4.csv | Tempo: 0.20 min | Prompt tokens: 4637 | Saída tokens: 300 | Total tokens: 4937
../datasets/wpp/parte_5_wpp.csv -> ./resultados/wpp/few_shot_parte_5.csv | Tempo: 0.20 min | Prompt tokens: 4758 | Saída tokens: 300 | Total tokens: 5058
../datasets/wpp/parte_6_wpp.csv -> ./resultados/wpp/few_shot_parte_6.csv | Tempo: 0.20 min | Prompt tokens: 4827 | Saída tokens: 300 | Total tokens: 5127
../datasets/wpp/parte_7_wpp.csv -> ./resultados/wpp/few_shot_parte_7.csv | Tempo: 0.18 min | Prompt tokens: 4624 | Saída tokens: 300 | Total tokens: 4924
../datasets/wpp/parte_8_wpp.csv -> ./resultados/wpp/few_shot_parte_8.csv | Tempo: 0.19 min | Prompt tokens: 5932 | Saída tokens: 300 | Total tokens: 6232
../datasets/wpp/parte_9_wpp.csv -> ./resultados/wpp/few_shot_parte_9.csv | Tempo: 0.21 min | Prompt tokens: 4630 | Saída tokens: 356 | Total tokens: 4986
../datasets/wpp/parte_10_wpp.csv -> ./resultados/wpp/few_shot_parte_10.csv | Tempo: 0.19 min | Prompt tokens: 5729 | Saída tokens: 300 | Total tokens: 6029
../datasets/wpp/parte_11_wpp.csv -> ./resultados/wpp/few_shot_parte_11.csv | Tempo: 0.22 min | Prompt tokens: 5463 | Saída tokens: 356 | Total tokens: 5819
../datasets/wpp/parte_12_wpp.csv -> ./resultados/wpp/few_shot_parte_12.csv | Tempo: 0.21 min | Prompt tokens: 5384 | Saída tokens: 349 | Total tokens: 5733
