text_content_anonymous,preconceito,num_tokens,Capacitismo,Gordofobia,Int.Religiosa,LGBTFobia,Misoginia,Xenofobia,Racismo,Hetarismo,Prec.Politico
Show :clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone:   O Nordestino acordou,0,5,0,0,0,0,0,1,0,0,0
"Mais uma vez o PT= Partido das Trevas apela ao MP para proibir as escolas de ensinar as crianças a rezar o Pai nosso, Oração ensinada pelo próprio Jesus. 

O PT tenta de todas as formas acabar com a Religião em Todo Brasil.",1,43,0,0,0,0,0,0,0,0,0
"Se não puder avise só para não quebrar a vigília!

“Pai Nosso, que estais nos Céus!

Santificado Seja o Vosso Nome!

 Venha a nós o Vosso Reino! 

Seja  feita a Vossa Vontade! 

Assim na Terra como nos Céus! 

O Pão Nosso de cada dia nos dai hoje, 

Perdoai as nossas ofensas, 

Assim como nós perdoamos a quem nos tem ofendido.

 E não nos deixeis cair em tentação,

Mas livrai-nos do mal...Amém""!

Será que você pode passar este *Pai Nosso*, para mais dez pessoas.
É uma vigilia de oração para os patriotas voluntários que irão a Brasília defender nossa liberdade.

Deus - Pátria - Família - Liberdade 

Não importa a sua crença :raising_hands_medium-light_skin_tone:
Se não puder avise só para não quebrar a vigília :raising_hands_medium-light_skin_tone:",0,123,0,0,1,0,0,0,0,0,1
E a esquerda tenta impedir o trabalho,0,7,0,0,0,0,0,0,0,0,0
Deus perdoa porque eles Não sabem que fazem e falam. Não tá pronto esse assunto,0,15,0,0,1,0,0,0,0,0,1
Abre o esgoto que vc chama de boca porra e admita que seu Deus matou crianças cadela,1,17,0,0,1,0,1,0,0,0,1
"A ditadura lulocomunista está na nossa porta. O momento é de coragem e a nossa melhor arma é o voto, no dia 30 de outubro. 
Para o Brasil não se tornar uma Venezuela, é 22 na urna. Não se engane, o capitão do povo é a última barreira contra a cleptocracia petista. #Bolsonaro22",1,53,0,0,0,0,0,0,0,0,1
":backhand_index_pointing_up: *Católicos do Brasil, vamos mais uma vez suplicar a Nossa Senhora Aparecida, Rainha e Padroeira do Brasil para que nos livre da ameaça do comunismo*
:backhand_index_pointing_up::winking_face::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands:
Canal
[USER]:Brazil:",1,29,0,0,0,0,0,0,0,0,0
"Calma aí
Basta reverter 3 milhões de votos
Temos tarefas de gigante em MG SP RS BA. e um pouco no Nordeste

Estamos conseguindo com novos Governadores Senadores e Dep Federais

Vamos deixar a regi no nível de muito esforço para ninguém se acomodar. 
Mas iremos conseguir e teremos uma Pátria Grande daqui a frente",0,55,0,0,0,0,0,0,0,0,0
A gente pode manda em Deus ??? Ser ele tem um decreto para tal cidade nós temos o pode e de muda a mente de Deus ???,0,27,1,0,1,0,0,0,0,0,1
"Vídeo com as falas completas ,e não como a esquerda bandida quer que os idiotas acredite!",1,16,1,0,0,0,1,0,0,0,0
Deus não veio pros sadios  veios pros doente. Igual os médico. Vc tem jeito,0,14,1,0,1,0,0,0,0,0,1
O que eu não entendo é como uma pessoa de bem ainda acredita na inocência do LULADRÃO. Adotam o cara cimi sendo Luiz *Inocêncio* Lula da Silva.,1,27,0,0,0,0,0,0,0,0,1
Imagina as crianças sadias que o povo da sua religião deixou doente,1,12,1,0,0,0,0,0,0,0,0
":loudly_crying_face::loudly_crying_face:Deus tenha misericórdia dessas, crianças livra nosso Brasil do homem mau.",0,11,0,0,1,0,0,0,0,0,1
"Se o povo sul-mato-grossense tiver vergonha na cara, nunca mais vota  nesta  idiota. Eu nunca votei nela e não votarei.",1,20,1,0,0,0,0,0,0,0,0
