id,text_content_anonymous,rotulo_modelo
1703,"Você estava tumultuando !

Você estava criticando !

Você é comuna, não tem palhaço aqui não 

[USER]",1
1927,Vão ser governado por ALKIMIM e acham que é o LULADRÃO,1
745,"Provérbios Cap. 24 | ARC
29 Não digas: Como ele me fez a mim, assim lhe farei a ele; pagarei a cada um segundo a sua obra.
*Há um Deus que tudo vê e lembre-se a lei da colheita é sempre proporcional da semeadura entregue tudo nas mãos dele*
Bom dia! A paz do Senhor Jesus!",0
1305,"Boa noite patriotas
Acompanho alguns grupos de esquerda
Eles estão usando a estratégia que o nordeste está sendo discriminado e que tem que se rebelar com outras regiões
Temos que trabalhar este ponto",1
2895,"Aqui, Higienópolis,  comemorou, os vizinhos do FHC, Serra, Mariana Godoy, artistas da Globo pq tem teatro dentro do Shopping.


Nâo existe CF para a esquerda, o Foro de São Paulo veio com rolo de comopresor.

O Foro de São Paulo, nasceu na USP,  reuni vários grupos da esquerda, intelectuais, artistas, mídias, clero da Teologia da Libertação nada a ver com o clero verdadeiro da Igreja muitos foram mortos pelos comunistas.",1
2552,O  povo não tem o preparo qui tem um general.O qui fazer nos não precisamos fazer nada é só acredita em Deus e não misturar com puliticos porquê eles não são patriotas não são humanos são todos demônios reptilianos são os demônios qui a bíblia fala pode pesquisar a maioria dos puliticos não são humanos são espíritos das trevas reencarnados um general é preparado e passa a vida estudando pra defender sua nação não fará barganha puliticas  não se desespere confia em Deus não vote porquê nós não temos candidato um e ladrão e o outro fala que não pode fazer nada,1
2282,Alguem tem o video do Lula dizendo que era a ultima chance de implantar a Ditadura comunista ?,1
1789,"NÃO PODEMOS PERMITIR QUE PESSOAS DE BEM SAIAM DO PAÍS SOB AMEAÇAS DE MORTE PELA ESQUERDA.
NÃO ACEITAMOS INVERSA DE VALORES.
QUEREMOS LULADRAO E QUADRILHEIROS QUE ESTÃO TENTANDO ROUBAR O PAÍS ATRÁS DAS GRADES.
INTERVENÇÃO MILITAR URGENTE",1
1570,"Claro e entre amigos ,anda a polícia subir o morro ! Canalha e bandido ué",1
1203,"É o que eu penso também. Estes que passam a vida escondidos, como ratos na toca; que morrem de medo de expor um fio de cabelo que seja; que não manifestam as suas opiniões; que não participam das lutas, que nunca fizeram diferença alguma, mas apenas se preocuparam em encher suas barrigas; o lugar reservados para estes é o inferno.
* Assim, porque você é morno, não é frio nem quente, estou a ponto de vomitá-lo da minha boca. Apocalipse 3:16 *",0
2732,"Jesus não tem volta ,precisa acontecer algo agora ou o povo vai sucumbir aos comunistas à Grande Pátria, aí já era .",1
1144,DEUS abençoe o Presidente é tbm o Paulo Martins que certamente estará trabalhando pela nossa liberdade onde quer que esteja ...,0
2563,"Amigo ja foi feito esquerda nao tem mais para onde ir , mais você está certo agora do depende de nós vamos conversa com familiares e consolidar os votos ! Por isso estão criando várias fake News para tirar voto de nós cristãos.",0
2129,"Aborto é é uma das armas da esquerda satanista para impedir que a alma  tenha acesso à experiência da encarnação para a espiritualização da matéria nesses tempos de despertar e da descida do Espírito Santo (Luz Vibral).
A guerra é espiritual.",1
101,"PARTICIPE DA CAMPANHA!

Conquiste UM OU MAIS votos para o Bolsonaro até o 2º turno!

É hora de falar com seus avós, amigos próximos e conhecidos que se abstiveram ou que votaram em outros candidatos.

Se cada cidadão decente e de direita fizer a sua parte, a vitória do Bolsonaro estará garantida! 

#Conquiste1Voto",0
2107,"Então me prova que Bolsonaro é maçom, e se é maçom, que problema tem? Kkkkk. O Lula é satanista, olha os ocultistas que apoiam ele... Ele vive em terreiro de macumba, faz discurso para macumbeiro. Faz macumba, tem foto da mulher dele orando para demônios do candomblé. Vai lá, me diz que grau o Bolsonaro é, e me mostra uma foto mostrando isso.",1
494,"Não existe inferno e sim lago de fogo, qual diferença?
Inferno criado por psicopata sem 1 pingo de justiça para tortura almas pela eternidade
Lago de fogo e quem for jogado ali será incinerada não vai sobrar nada",0
1981,Lvai se fuder comuna safado vai mora na Venezuela lixo :skull_and_crossbones::dagger::dagger::dagger::dagger::dagger::dagger:,1
297,"Sim, isto é a esquerda provocando o caos!!
Não coisa da gente!
Nós sabemos muito bem que foi votos manipulados!!",1
2574,"Carros dos funcionários Justiça Eleitoral adesivados a favor de um candidato É PROIBIDO :double_exclamation_mark:

Mas o Luladrão tem esquemas tão fortes que esses veículos circulam livremente.

Bem diferente do fusquinha particular com foto do Bolsonaro, a senhora que é dona tem que andar a pé pois ofendeu as vistas dos demônios de esquerda.

t.me/verdadeagoraoficial",1
967,"Que lindo!! Arco-íris nesta tarde de segunda-feira, 31/10/2022, Nova Iguaçu, Rio de Janeiro.

Em Gênesis 9:16, Deus afirma que o arco-íris serve como lembrança de uma aliança feita por Deus com o homem...",0
724,":red_exclamation_mark:Lista de Candidatos estado de
:red_triangle_pointed_down:São Paulo 
:backhand_index_pointing_down:
Governador: Tarcísio 10

Dep Estadual: 
Gil Diniz ( Carteiro Reaça ) 22120
Clau de Luca 22580
Bruno Zambelli 22100
Major Mecca 22000
Lucas Bove 22500
Castello Branco 22288
Dra Ligia Funaki 35051
Fabio Duarte 19762
Fábio cândido 22555
Tomé Abduch ( movimento nas ruas) 1055
Maria Helena Peternelli 44444

Dep Federal: 
Eduardo Bolsonaro2222
Dra Maria Emília Gadelha 2800
Marcelo Rossi ( Canal Geopolítica)1468
Ricardo Salles 2250
Carla Zambelli 2210
Tenente Mosart ( foi acessor especial do Presidente) 2238
Wesley Ros 2280
Capitão Derrite 2290
Mário Frias 2208
Sérgio Camargo 2204
Munir Wahhab ( membro aqui do Canal )1420
Delegado Paulo Bilynskyj 2247
Ricardo Izar 1011
Adrilles Jorge 1414
Diogo Forjaz 2292
Príncipe Luiz Phillipe 2243
Liliane Ventura 2269
Moisés 1406 ( Pátria e Defesa )
Pablo Marçal 9000
General Peternelli 4444
Felipe Lintz 5152

Senador: Marcos Pontes 222",0
427,Parabéns gaya :right-facing_fist::left-facing_fist: mostrou a que veio. Tenho grande admiração por você. Deus abençoe sua nova jornada :folded_hands::smiling_face_with_halo::prayer_beads::smiling_face_with_halo::folded_hands:,0
986,"Pedido de um nordestino para o presidente voltar lá depois de reeleito, levar Michele pra orar pelo nordeste.",0
2573,"Entre Uberaba e Uberlândia.
O Brasil vai virar uma praça de guerra.
E esse ladrão nem foi eleito ainda. 
Passe para os indecisos.
Desculpa pelas postagens, mas a hora é agora.......

MST em ação, hoje de manhã  04/10 em Uberlândia, próximo a Capela da Saudade, estrada de acesso a Capim Branco e Tenda dos Morenos.",1
2154,Cadê a galera que defende nordestino .aqui em SC tem uma infestação d nordestino.e todos fizeram festa com a vitória do ladrão . Então não diga q o nordeste é inocente pela segunda vez.,1
2317,":black_small_square: A indústria farmacêutica não cura, viciam as pessoas em remédios (farmacológicos), para lucrarem com doenças e mortes.
:black_small_square:Se deseja saúde, encontrará na criação DIVINA, através da vitamina D3(Sol), frutas, verduras, legumes, grãos, ovos, frango, peixes e carne vermelha.
:black_small_square: Fitoterápicos (ervas, açafrão, cúrcuma, curry, gengibre, maca peruana e entre outros...)
:black_small_square:Sono reparador (ambiente 100% escuro,em média 8 horas)
:black_small_square: Hidratação (em média 2 litros)
:black_small_square: Atividade física
:black_small_square: Meditação
:black_small_square: Deus (fé)
:black_small_square:A televisão e políticos, nunca representam a saúde dos pagadores de impostos, fazem uso do dinheiro dos pagadores de impostos para fundo partidário, fundo eleitoral, verba de gabinete, auxílio moradia, plano de saúde vitalício, carros, terno, combustível e ainda infinitas ocorrências de corrupções.
:black_small_square:Lute contra o sistema comunista e globalista. 

""E conhecereis a verdade, e a verdade vos libertará."" 
João 8:32

Se inscreva em nosso canal e compartilhe a nossa RED PILL.
[USER]
[USER]",1
218,"#Bolsonaro2022 
#TarcísioFreitasGovernadorSP2022 

Revista veja esquerdista começa a PERCEBER o perigo COMUNISTA. 

A IMPRENSA Nacional TRAIU o Brasil e o povo brasileiro por causa de VERBAS PUBLICITÁRIAS (dinheiro do POVO)

Agora começa agonizar e se encontra de joelhos, agora estão TENTANDO REAGIR mostrando um pouco da verdade que nós de DIREITA temos denunciado a muito tempo.

(Jorginho Xiada)

Precisamos REAGIR elegendo",1
1708,"Metade da minha ou foi pra corja de lula que é ladrão  ou vai votar nulo mas depois disso no grupo da minha igreja o pastor disse que devos orar muito, vou votar nulo também mas não defendo político satanista isso é terrível deus vai cair a mão sobre nós você vai ver",1
2670,"Gente, por favor!
Bolsonaro sempre esteve à frente, e, nunca atrás. Essa casta esquerdopata o coloca atrás ou empatado com o (zero à esquerda) porque eles tem esperança de que as eleições sejam fraudadas.",1
1809,Souberam alguma coisa se realmente o LULADRAO tava internado aquele demônio?,1
762,"Não há honra na covardia, e não há dignidade em se esconder.
A frase ""Melhor um covarde vivo do que um herói morto"". Esconde a realidade que depois que matarem os heróis vão matar os covardesnos campos de concentração.
Releiam os fatos da segunda guerra.
Primeiro mataram os heróis depois prenderam, torturaram e mataram em campos de (concentração no passado e ""reeducação"" no presente).

Vai, isso mesmo fica com medo, salva sua pele enquanto há tempo!",1
2097,"Lembrando q senador não tem segundo turno, se dividirmos os votos da direita vai entrar um comunista no senado",1
618,"Aí os candidatos do presidente ganham na maioria dos estados mas o próprio Bolsonaro não???
Estranho uma pessoa apoiar os candidatos indicados por quem ele não quer votar.
Resultado totalmente suspeito",1
2126,A esquerdalha suja e BANDIDA ENLOUQUECIDA e pirando... Somos todos  #BOLSONARO  COM adesivo ou sem adesivo.,1
864,"Pessoal! Vamos acreditar, pelo amor de Deus!
A energia tem e deve ser positiva",0
1161,"Pessoal vamos votar, conquistar votos pois essa eleição é nossa conservadores de direita!!",0
2945,"Vamos conquistar votos 
Incentivar os nossos irmãos 
à ir votar!!
Vc quer não quer ter sua 
liberdade  roubada pelo governo lulaladrão
Vamos colocar as mãos na massa",0
2085,seu pai viado fdp. se respeite. tem nenhum petralha aqui. So falei q a mulher nao foi agredida. e nao foi. ela fez merda e prejudicou a campanha do candidato. va tomar no meio de seu cu,1
