../datasets/wpp/parte_1_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_few_shot_parte_1.csv | Tempo: 0.20 min | Prompt tokens: 8941 | Saída tokens: 356 | Total tokens: 9297
../datasets/wpp/parte_2_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_few_shot_parte_2.csv | Tempo: 0.20 min | Prompt tokens: 8307 | Saída tokens: 356 | Total tokens: 8663
../datasets/wpp/parte_3_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_few_shot_parte_3.csv | Tempo: 0.18 min | Prompt tokens: 8336 | Saída tokens: 356 | Total tokens: 8692
../datasets/wpp/parte_4_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_few_shot_parte_4.csv | Tempo: 0.17 min | Prompt tokens: 7752 | Saída tokens: 356 | Total tokens: 8108
../datasets/wpp/parte_5_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_few_shot_parte_5.csv | Tempo: 0.17 min | Prompt tokens: 7829 | Saída tokens: 356 | Total tokens: 8185
../datasets/wpp/parte_6_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_few_shot_parte_6.csv | Tempo: 0.16 min | Prompt tokens: 7944 | Saída tokens: 356 | Total tokens: 8300
../datasets/wpp/parte_7_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_few_shot_parte_7.csv | Tempo: 0.29 min | Prompt tokens: 7804 | Saída tokens: 356 | Total tokens: 8160
../datasets/wpp/parte_8_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_few_shot_parte_8.csv | Tempo: 0.19 min | Prompt tokens: 8976 | Saída tokens: 356 | Total tokens: 9332
../datasets/wpp/parte_9_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_few_shot_parte_9.csv | Tempo: 0.30 min | Prompt tokens: 7788 | Saída tokens: 356 | Total tokens: 8144
../datasets/wpp/parte_10_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_few_shot_parte_10.csv | Tempo: 0.19 min | Prompt tokens: 8697 | Saída tokens: 356 | Total tokens: 9053
../datasets/wpp/parte_11_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_few_shot_parte_11.csv | Tempo: 0.16 min | Prompt tokens: 8508 | Saída tokens: 356 | Total tokens: 8864
../datasets/wpp/parte_12_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_few_shot_parte_12.csv | Tempo: 0.35 min | Prompt tokens: 8400 | Saída tokens: 356 | Total tokens: 8756
../datasets/wpp/parte_1_wpp.csv -> ./resultados/wpp/prompt_role_dicionario_few_shot_parte_1.csv | Tempo: 0.15 min | Prompt tokens: 8941 | Saída tokens: 356 | Total tokens: 9297
