id,text_content_anonymous,rotulo_modelo
632,"É verdade, eu falei pro meu primo que é crente a muito anos, mais ele não entende que não pode ser à favor do aborto, e etc. Mais ele só pensa no dinheiro, e  é por que quando a gente morre não leva nada,",0
2572,"*MST* faz barreira de contenção na *TRANSPOSIÇÃO DO RIO SÃO FRANSCISCO,* prejudicando milhares de famílias ribeirinhas. Esses mesmos vândalos terão status de ÓRGÃO DE GOVERNO no governo de *LuLadrão!*
QUE ABSURDO EU ACHEI QUE JA TINHA VISTO DE TUDO MAS ESSES MALDITOS SINCERAMENTE MERECEM MORRER , PREJUDICANDO MILHÕES DE NORDESTINOS.
MEU DEUS ....",1
2647,"Nazismo e comunismo .
Tudo igual .
A esquerda diz que nazismo é de direita .
Mas são burros .
Tanto é que os nazistas e comunistas eram aliados no começo da guerra.
Mas a esquerda se auto destrói e viraram inimigos",1
679,"""o coração do sábio se inclina para direita, e o do tolo para a esquerda""",1
752,"""Os cristãos fiéis são como luz nesse mundo. Brilhe a luz de Cristo onde só há trevas. Leve Seu amor e misericórdia onde só há guerra. Seja um agente de mudança nesse país :Brazil:, como o Senhor te chamou para ser! Um patriota itinerante q tem o amor de Deus no coração ama :Brazil: e não aceita q as trevas governe este país!!! :Brazil::fire::handshake::folded_hands:olhe para o céu e veja q em td essa imensidão existe um DEUS que em cada novo dia nos traz a oportunidade de sorrir e ser feliz. Tenha um excelente dia em nome de Jesus Cristo :folded_hands:
Evang Pedro Chaves :comet::Brazil: salmo 33:12:Brazil:",0
384,Que Deus te abençoe,0
1136,"Temos que transformar nossa preocupação em FÉ, Esperança e certeza que Deus está no controle.vamos fazer nossas preces a Deus e o BEM vencerá. Deus abençoe o BRASIL E SEU POVO.",0
1733,Vamos unir ao povo nordestino pq se a gente fik com raiva aí que eles votam no ladrão mesmo,1
612,"*EU, Machado,:axe:.*

:check_mark_button:VOTO CONTRA!**:check_mark_button:VOTO CONTR *:check_mark_button:VOTO CONTRA!**:check_mark_button:VOTO CONTRA!*


*:face_vomiting:CONTRA INCESTO*

*:face_vomiting:CONTRA ABORTO*

*:face_vomiting:CONTRA IDEOLOGIA DE GÊNERO*

*:face_vomiting:CONTRA DESTRUIÇÃO DA FAMÍLIA*

*:face_vomiting:CONTRA CONTRA REGULAÇÃO DA MÍDIA*

*:face_vomiting:CONTRA FECHAMENTO DAS IGREJAS*

*:face_vomiting:CONTRA CORRUPÇÃO*

*:face_vomiting:CONTRA BANHEIRO COMUNITÁRIO PARA HOMEM E MULHER*

*:face_vomiting:CONTRA A FAMÍLIA NÃO TRADICIONAL* 



*:check_mark_button:Cristão que vota na esquerda não está com Cristo! :check_mark_button:*

:check_mark_button:***
:check_mark_button:****
:check_mark_button:222
:check_mark_button:22
:check_mark_button:22

:check_mark_button:Deus
:check_mark_button:Pátria 
:check_mark_button:Família 
:check_mark_button:Liberdade
:Brazil::Brazil::Brazil::Brazil::Brazil::Brazil::Brazil::Brazil::Brazil:",1
2482,"Agora eu entendo pq, entre o primeiro turno e o segundo, teremos 4 semanas e não 3 como de costume. Dia 30 é um Domingo. Dia 29 é um sábado e 28 é uma sexta-feira. Dia do Funcionário Público. Com o de costume, feriado para o funcionalismo público. Eleição dia 30. Dia 01 de Novembro provável feriado/ponto facultativo e, dia 02/11, Finados. Outro feriado. Feriadão de 5 dias com uma eleição no meio. Quem viaja num feriadão? Eleitores do Bolsonaro ou eleitores do Luladrao? Abstenção severa? A quem vai beneficiar? Muita coincidência ou armação? Não vamos viajar. Vamos votar. Para reflexão.

:flushed_face::flushed_face::flushed_face::flushed_face::flushed_face::flushed_face::flushed_face::backhand_index_pointing_up::backhand_index_pointing_up::backhand_index_pointing_up::backhand_index_pointing_up::backhand_index_pointing_up:",0
