../datasets/telegram/parte_1_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_1.csv | Tempo: 0.14 min | Prompt tokens: 8426 | Saída tokens: 356 | Total tokens: 8782
../datasets/telegram/parte_2_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_2.csv | Tempo: 0.13 min | Prompt tokens: 8558 | Saída tokens: 356 | Total tokens: 8914
../datasets/telegram/parte_3_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_3.csv | Tempo: 0.16 min | Prompt tokens: 7638 | Saída tokens: 356 | Total tokens: 7994
../datasets/telegram/parte_4_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_4.csv | Tempo: 0.12 min | Prompt tokens: 7771 | Saída tokens: 356 | Total tokens: 8127
../datasets/telegram/parte_5_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_5.csv | Tempo: 0.13 min | Prompt tokens: 7699 | Saída tokens: 356 | Total tokens: 8055
../datasets/telegram/parte_6_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_6.csv | Tempo: 0.13 min | Prompt tokens: 7838 | Saída tokens: 356 | Total tokens: 8194
../datasets/telegram/parte_7_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_7.csv | Tempo: 0.12 min | Prompt tokens: 8329 | Saída tokens: 356 | Total tokens: 8685
../datasets/telegram/parte_8_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_8.csv | Tempo: 0.16 min | Prompt tokens: 8205 | Saída tokens: 356 | Total tokens: 8561
../datasets/telegram/parte_9_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_9.csv | Tempo: 0.11 min | Prompt tokens: 7870 | Saída tokens: 356 | Total tokens: 8226
../datasets/telegram/parte_10_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_10.csv | Tempo: 0.12 min | Prompt tokens: 8553 | Saída tokens: 356 | Total tokens: 8909
../datasets/telegram/parte_11_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_11.csv | Tempo: 0.14 min | Prompt tokens: 7623 | Saída tokens: 356 | Total tokens: 7979
../datasets/telegram/parte_12_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_12.csv | Tempo: 0.15 min | Prompt tokens: 8561 | Saída tokens: 356 | Total tokens: 8917
../datasets/telegram/parte_1_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_1.csv | Tempo: 0.15 min | Prompt tokens: 8426 | Saída tokens: 356 | Total tokens: 8782
../datasets/telegram/parte_2_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_2.csv | Tempo: 0.15 min | Prompt tokens: 8558 | Saída tokens: 356 | Total tokens: 8914
../datasets/telegram/parte_3_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_3.csv | Tempo: 0.14 min | Prompt tokens: 7638 | Saída tokens: 356 | Total tokens: 7994
../datasets/telegram/parte_4_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_4.csv | Tempo: 0.16 min | Prompt tokens: 7771 | Saída tokens: 356 | Total tokens: 8127
../datasets/telegram/parte_5_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_5.csv | Tempo: 0.15 min | Prompt tokens: 7699 | Saída tokens: 356 | Total tokens: 8055
../datasets/telegram/parte_6_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_6.csv | Tempo: 0.16 min | Prompt tokens: 7838 | Saída tokens: 356 | Total tokens: 8194
../datasets/telegram/parte_7_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_7.csv | Tempo: 0.15 min | Prompt tokens: 8329 | Saída tokens: 356 | Total tokens: 8685
../datasets/telegram/parte_8_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_8.csv | Tempo: 0.15 min | Prompt tokens: 8205 | Saída tokens: 356 | Total tokens: 8561
../datasets/telegram/parte_9_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_9.csv | Tempo: 0.14 min | Prompt tokens: 7870 | Saída tokens: 356 | Total tokens: 8226
../datasets/telegram/parte_10_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_10.csv | Tempo: 0.13 min | Prompt tokens: 8553 | Saída tokens: 356 | Total tokens: 8909
../datasets/telegram/parte_11_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_11.csv | Tempo: 0.16 min | Prompt tokens: 7623 | Saída tokens: 356 | Total tokens: 7979
../datasets/telegram/parte_12_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_12.csv | Tempo: 0.13 min | Prompt tokens: 8561 | Saída tokens: 356 | Total tokens: 8917
../datasets/telegram/parte_1_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_1.csv | Tempo: 0.17 min | Prompt tokens: 8426 | Saída tokens: 356 | Total tokens: 8782
../datasets/telegram/parte_2_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_2.csv | Tempo: 0.12 min | Prompt tokens: 8558 | Saída tokens: 356 | Total tokens: 8914
../datasets/telegram/parte_3_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_3.csv | Tempo: 0.14 min | Prompt tokens: 7638 | Saída tokens: 356 | Total tokens: 7994
../datasets/telegram/parte_4_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_4.csv | Tempo: 0.14 min | Prompt tokens: 7771 | Saída tokens: 356 | Total tokens: 8127
../datasets/telegram/parte_5_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_5.csv | Tempo: 0.14 min | Prompt tokens: 7699 | Saída tokens: 356 | Total tokens: 8055
../datasets/telegram/parte_6_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_6.csv | Tempo: 0.14 min | Prompt tokens: 7838 | Saída tokens: 356 | Total tokens: 8194
../datasets/telegram/parte_7_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_7.csv | Tempo: 0.14 min | Prompt tokens: 8329 | Saída tokens: 356 | Total tokens: 8685
../datasets/telegram/parte_8_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_8.csv | Tempo: 0.16 min | Prompt tokens: 8205 | Saída tokens: 356 | Total tokens: 8561
../datasets/telegram/parte_9_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_9.csv | Tempo: 0.12 min | Prompt tokens: 7870 | Saída tokens: 356 | Total tokens: 8226
../datasets/telegram/parte_10_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_10.csv | Tempo: 0.12 min | Prompt tokens: 8553 | Saída tokens: 356 | Total tokens: 8909
../datasets/telegram/parte_11_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_11.csv | Tempo: 0.14 min | Prompt tokens: 7623 | Saída tokens: 356 | Total tokens: 7979
../datasets/telegram/parte_12_telegram.csv -> ./resultados/telegram/prompt_role_dicionario_completo_parte_12.csv | Tempo: 0.19 min | Prompt tokens: 8561 | Saída tokens: 356 | Total tokens: 8917
