id,text_content_anonymous,rotulo_modelo
941,"Quanto à vacina, aqui em casa não tomamos, pegamos covid (meu esposo e eu) a saturação dele começou a baixar (temos oxímetro em casa) chegando a 90. Ele tomou hidroxicloroquina e cerca de 1hora a saturação já estava normal 99. Ninguém me contou eu vi o efeito acontecer. Eu tomei preventivamente logo no início e minha saturação não baixou.",0
1964,Aí esse lambe saco do Luladrão põe a culpa no padre e não chama em nenhum momento a atenção do nove dedos :enraged_face:,0
1867,"Eu concordo com você, mas isso é muito lindo dito.
Porque na Internet as pessoas falam que vão fazer e acontecer, na prática nada! 
E a esquerda já sacou isso. 
Se fosse assim, não teríamos um ladrão condenado na presidência.",0
2673,"Gente o que é isso aqui??? 
Indecente ou anarquista?? É petralha aqui?:face_screaming_in_fear::prohibited::prohibited::prohibited::prohibited::prohibited::prohibited::prohibited::prohibited::prohibited::prohibited::prohibited::prohibited: Administradorrrrrr!!",1
1096,Não vamos nos iludir. Não vai acontecer nada. A esquerda e o STF deitaram e rolaram e fizeram de tudo e arrebentaram a corda várias vezes e nada aconteceu. E a culpa foi da direita que deixou. O congresso que deixou e se ajoelhou pro Xandão. O presidente e as FFAA passaram 4 anos assistindo. Agora não adianta chorar. Eles vão ficar no poder por muitos anos.,1
1551,"Infelizmente Minas é petista. 
Fui em BH e só vi bandeira do luladrao.",1
964,"Olá Ratorrres ([USER]) 

Seja bem vindo(a) ao grupo DIREITA SP :Brazil: SÃO PAULO :military_medal: PELA LIBERDADE

:Brazil: Link de convite deste grupo:
╰─► :link: t.me/+EWlGMatRZGg3OTlh
Envie para seus amigos e familiares :thumbs_up:

Se perceber algum problema relate o que houve e chame os administradores digitando '[USER]'.

:star: Deus
:Brazil: Pátria
:family_man_woman_girl: Família
:oncoming_fist_medium-light_skin_tone: Liberdade!
Juntos somos mais fortes!",0
2596,"PEDOFILO CANIÇA COME DEFUNTO ,MACUMBEIRO PRA O MAL ELE E CONTRA O ABORTOKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK",1
1026,"Bolsonaro 22 no primeiro e segundo turnos .
Fiquem alertas em relação a qq mensagem.
Procurem checar a fonte .
Desespero bateu na esquerda.
Agora, para eles, é um vale tudo, sem regras ou qq ética .",0
1326,"Já trm grupo """"""""""De Direita"""""""" pronto pra repetir o capitólio. Vai lá!:goblin::goblin::goblin::clown_face::clown_face::clown_face:",1
970,"Guia-me na tua verdade, e ensina-me, pois tu és o Deus da minha salvação; por ti estou esperando todo o dia. Salmos 25:5

Alegrai-vos na esperança, sede pacientes na tribulação, perseverai na oração; Romanos 12:12",0
2105,"Depois de descobrir que o presidente tá apoiando essa igreja do diabo vou votar nulo , não voto em ladrão e nem em satanista",1
1865,mas ele eh mais a troca de favores ou seja ele pediria p manter o xandao nis 7 e todos sabem q impossivel pq dia 2 sera o primeiro pedido de renovacao daquela Carmem Lucia e Xandao pq eles votaram no caso do Luladrao contra e dos a favor de anulacao dos processos e se essa Carmen nao tivesse mudado hj esse 9 dedos tava nas grades,1
2313,Tem infiltrado danso coração apoiando saqueadores ae.. vamos ficar de olho.. to restreando voces seus comuna fdp..,1
2541,"GENTE!! EU ACHEI QUE ERA MONTAGEM DE PETRALHA SAFADO PARA NOS ENGANAR MAS NAO TM COMO SER COM ESSES VIDEOS!! ESTOU EM
ESTADO DE NEGAÇÃO ALGUEM PODE ME EXPLICAR E ME DIZER QUE ISSO TUDO É MENTIRA?? ESTOU MUITO MAL SABE!? JA TOMEI DOIS CALMANTES ALGUEM PODE ME DIZER QUE ISSO NAO É VERDADE????",1
1084,"ALERTA AOS GRUPOS DE DIREITA EM TODO BRASIL, ESTAMOS SENDO ATACADOS:backhand_index_pointing_down_medium-dark_skin_tone:",0
2601,":smiling_face_with_hearts: mortal teoriza meteorica-mente sem viver a história 

a terra é linda o espaço é habitável e não é caos, fantasia droga e cobiça o planeta, andorinha faz verão junto com alegria, cada faz o que sabe fazer, plantar e colher e o infeliz é ladrão 

dúvida preocupa o medo, sonho e pesadelo ao estado profundo, e se o céu for vermelho as montanhas não são dinheiros, a cortina cinza não vê o verde nem ouro 

o mundo fantasia a m.e.r.d.a de todo lugar, as encostas regressivas, corra e seja livre da masmorra, a sócia-lista nada o barco tomba e o fundo não é o bastante, o arrogante progressista negacionista da origem da vida 

:flushed_face::backhand_index_pointing_right_light_skin_tone::Brazil::Brazil::Brazil::Israel::raising_hands:",1
706,":police_car_light:O GRUPO VAI ABRIR SÓ NO DOMINGO!

VAMOS VOLTAR PARA REALIDADE!!!

O GRUPO VAI SER ABERTO PARA POSTAGEM E COMENTÁRIOS NO DOMINGO!!!

É TEMPO DE ORAR :folded_hands::folded_hands::folded_hands::folded_hands::folded_hands:

QUE DEUS TENHA MISERICÓRDIA DO NOSSO BRASIL!!!:Brazil:

Oséias 4:6

6Meu povo foi destruído
por falta de conhecimento.
""Uma vez que vocês rejeitaram
o conhecimento,
eu também os rejeito
como meus sacerdotes;
uma vez que vocês ignoraram
a lei do seu Deus,
eu também ignorarei seus filhos.:folded_hands:",0
2924,Ato falho ou ato pensado. Não importa. Lulalixo. Luladrão. Lulaesgoto. Perdeu imundície.  //  Bolsonaro reeleito :Brazil::smiling_face_with_sunglasses::raising_hands::flexed_biceps::Brazil::clapping_hands::thumbs_up::Brazil:,1
2709,"Não me interpretem mal , sou brasileirista , amo meu país e não quero ver essa corja esquerdopata no comando,  mas as coisas estão feias, a censura come solta e ninguém reage.",0
1088,Me fala aí q vc seria o novo Deus pq onipresente ele não é,1
1926,"POEQUE ELE VAI SER PRESO? ELE NAO COMETEU NENHUM CRIME. QUEM ROUBOU FOI O LULADRÃO. ESSE SIM, TERIA QUE ESTÁ PRESO.",1
