id,text_content_anonymous,rotulo_modelo
2776,"Junto a isso, quem crê em Deus, peça forças a Ele e ore pelo Brasil. Ore e fique ciente que o inimigo comunistas não é apenas interno, tbm está nas nossas fronteiras",1
1930,"!!!LULA não só é ladrão, assassino(hospital copa do mundo), apoiado de ditadura!!!!",1
2796,É guerra!!!! A esquerdalha já partiu para o tudo ou nada há muito tempo :SOS_button::SOS_button::SOS_button::SOS_button::SOS_button::SOS_button::SOS_button:,1
2784,"Povo ignorante ,eleger esse traidor canalha , o povo não sabe votar e nos nunca vamos crescer por causa desse inuteis",1
2505,Brasileiros não precisa de EUA embora eu não vou votar mais quem tem olhos pra ver as pessoas que segue Bolsonaro sabe que não tem como ladrão ganhar e mais quem tá do lado do ladrão e bandido EUA agora só tem pilantra quero quio senado dos EUA vai pro inferno,1
532,"_________

Está escrito na palavra de Deus, o Criador dos céus e da terra.

Apóstolo PAULO servo de Jesus Cristo o Filho de Deus







 Suportem-se uns aos outros e perdoem as queixas que tiverem uns contra os outros.

 Perdoem como o Senhor lhes perdoou .







Está escrito em Colossenses 3:13 Bíblia Sagrada

______",0
1190,"Quais os frutos que o Lula tem pra mostrar? Destruição das famílias tradicionais, ideologia de gênero, liberação de todas as drogas, destruição do cristianismo? É sobre isso que vc está falando? Bolsonaro é sim temente à Deus. Lula se diz ser a favor de Barrabás ao invés de Jesus. Tome muito cuidado com seus argumentos cheios de ódio por um presidente que está defendendo o Brasil da NOM. Vc sim, está me parecendo “aqueles que veem para confundir, enganar e destruir” a batalha espiritual que está posta é a guerra do bem contra o mal. Vc está criando dissidências dentro do grupo dos que defendem Deus em primeiro lugar, a pátria, a família e a liberdade.",1
2691,"BEM,  ninguém  pode se  sentir  enganado.  Estava tudo  desenhado  só cego  e surdo não  via e ouvia. 
Mas VAMOS  TODOS  VOTAR  PARA  OS  SAFADOS   CONTINUAR EM  COM AS  PROVAS.DO CRIME.
CONFIE  NO COMANDANTE DESSA NAÇÃO,  QUE  SERÁ  LIVRE  E PRÓSPERA. 
LEMBRANDO  A PENA  PARA OS LESAS  PÁTRIA,  SE CONTINUAREM A LESAR  O BRASIL!! A ESCOLHA  É  LIVRE!!!!",1
818,"Considerando que nas urnas não exista fraude e a manipulação seja somente na hora de totalizar os votos, a conferencia seria muito simples.

Bastaria somar todos os votos de cada candidato a presidente a partir dos boletins de urna.

O TSE faz uma onda danada como se uma totalização de votos fosse algo complexo.

Imagine uma tabela Excel colocando nas colunas o nome do candidato e nas linhas o total de votos de cada urna para cada candidato. 

Ao final vai ter a soma dos votos colocando uma formula do excel. Simples assim.

Agora se a fraude ocorrer na urna já fica mais complexo ou até impossível de fazer a avaliação. A avaliação seria subjetiva por exemplo de que um candidato apoiado pelo presidente tenha mais votos que ele próprio. Ou que exista muitos votos em candidatos de direita e vença o candidato a governador ou presidente de esquerda.",0
926,"Holocausto Judeu ou Alemão?

O presente livro é o resultado de uma pesquisa histórica e que vai apresentar fatos completamente desconhecidos da grande maioria que se misturaram – ou não -, com notícias de conhecimento da grande maioria, sobre os fatos anteriores, durante e posteriores acerca do suposto Holocausto Judaico que põem completamente sua versão oficial em cheque, dando ao leitor terá a oportunidade de fazer seu julgamento.

Autor: S. E. Castan

Participe:backhand_index_pointing_right: [USER]",1
1993,"Ao chegar mais cedo em casa, o marido encontra sua mulher nua na cama, prostada e respirando ofegante.
-O que houve querida? Vc não está passando bem?
-Acho que é um ataque do coração, responde ela.
Ao ouvir isso, o marido corre pro telefone, feito um louco, para chamar um médico. Enquanto tentava discar, o filho chega perto dele e avisa:
-Pai, tem um fantasma no banheiro.
O marido vai até lá, abre a porta e, encontra um cara vestindo um lençol. Puxa o pano e dá de cara com o seu melhor amigo, pelado. Ficou indignado e disse:
-Pelo amor de Deus Alfredo! Minha mulher tendo um infarto e vc fica assustando as crianças.

Assim é a mentalidade de um petista, que finge  que Lula não é ladrão.

 Sensacional! :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:

Eu sou Bolsonaro22  e Tarcísio10 :Brazil::Brazil::Brazil:",1
1173,"CONTINUO NA BATALHA ATÉ O FIM , COM DEUS , FÉ, JOELHO NO CHÃO, JEJUM E ORAÇÃO. EU NÃO DESISTO JAMAIS,",0
