id,text_content_anonymous,rotulo_modelo
916,"Prezado amigo (a) solicito seu voto para que possamos juntos Libertar o Ceará; Construir um Ceará sem medo, o Ceará da esperança e das oportunidades! 
Conto com você :saluting_face::Brazil:  Junte- se à nós!!

Coronel Bezerra
- Candidato a Deputado Estadual 
:keycap_4::keycap_4::keycap_4::keycap_5::keycap_6::check_mark_button:",0
490,":police_car_light::police_car_light::police_car_light::police_car_light::police_car_light::police_car_light::police_car_light:

Sequestraram a Direita no Pará. Agora estão cobrando o preço do resgate (votar em Mário Couto).

Deixa o Mário pra lá... vamos seguir em FRENTE COM SABBÁ 355 SENADOR. 

VEJA O VÍDEO E COMPARTILHE!!!",1
1587,"Colégio eleitoral de São Paulo é se 32 milhões de eleitores.
Para pensar:
Somos156 milhoes de eleitores, 20% ou seja 32 milhões de eleitores que não foram votar é no mínimo estranho não acha?
É como se todos eleitores do estado de São Paulo não fossem votar.",0
395,"Pessoal, boa tarde, isso é uma guerra, estão tentando derrubar o presidente desde o início, agora pra eles é tudo ou nada, eles sabem que precisam usar tudo o que eles tem agora, vamos estar confiantes, unidos somos mais fortes, honrar a Deus primeiramente, a justiça e a verdade esta com  a gente e não vamos abrir mão disso! VAMOS VENCER!",0
1888,"Que a paz de nosso Senhor Jesus Cristo, seja em sua casa e em seu coração. Lhe peço para dar uma lida no texto publicado hoje pelo nosso presidente Bolsonaro. Leia e depois compartilhe ao máximo.",0
1719,"Tbem concordo c vc em alguns aspectos, mas hoje precisamos entender q ao nos abstermos de votar automaticamente estamos elegendo Lula...façamos a nossa parte, Deus espera isso",0
2895,"Até pq tem tudo a ver uma coisa com a outra, esquerdopata de merda",1
2393,"*Votar na Esquerda, votar no PT, votar em Luladrão, além de votar em um corrupto condenado em 3 instâncias; e que nem poderia estar concorrendo ao cargo máximo da nação, é apoiar o Crime, é apoiar essas pautas de degeneração social, de Pedofilia, de abusos sexuais das nossas crianças, é a total degradação da dignidade humana, é corromper toda a geração futura, que com certeza, atiginrar seus descendentes*",1
1170,Pedimos para que Deus abençoe e que eles não roubem nas urnas,0
2016,"Gente, sinceramente vcs fazem propaganda do LULADRÃO BBB toda hora. Só mostram vídeos desse meliante",1
630,"Boa noite amigos e amigas do GP.
Jente eu postei esses vidios mas qero dizer a tds vcs q pra mim o q vencer será bm vindo pq nenhum faz nada pra melhorar essa nação. 
Só Deus por nós.
Qem será contra nós. 
Uma boa noite a tds",0
703,CIRO Gomes exculachou o vagabundo Ao VIVO TRAIDOR DA PÁTRIA :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tongue::face_with_tongue::smiling_face::smiling_face::winking_face_with_tongue:,1
798,*BOLSONARO APOIA DITADOR QUE PERSEGUE E MATA CRISTÃOS!*,0
2158,"Se vc pensa que é policial, principalmente veterano e não vai perder seu direito a legítima defesa?! Esqueça, arma só do Estado  com o policial em serviço operacional, ao término deverá devolver a arma ao cofre ou reserva do quartel/ delegacia, e voltar pra casa desarmado e rezar para não ser ""justiçado"" pelos parceiros do Luladrão e braço armado deste partido  das trevas e membro das facções da sua área residencial.
PT é contra vc  policial
#VaidarPTnasegurança",1
2027,Esses são eleitores do luladrao :enraged_face::enraged_face::enraged_face::enraged_face::enraged_face: isso é só o começo.,1
2704,"Dois CPF pegos roubando pra tomar uma cervejinha. Massagem grátis pelos colaboradores  popular.:rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:
Eles acham que o Luladrão já ganhou.",1
633,Agora a esquerda pira :rolling_on_the_floor_laughing::face_with_tears_of_joy::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:,0
1892,"E daí sua burra, o que tem a ver o batismo dele, com o pastor ser preso ou não? O batismo foi dele e Deus o contemplou, você é tão ignorante que quer que Bolsonaro responda pelos outros, quando você morrer sua intelectualissima, você responderá por si mesma e não pelos outros.",1
81,":Brazil: Assistam esse Depoimento do empresário Luciano Hang,  dono Grupo Havan, , que mesmo que o Brasil mergulhe num abismo socialista, pode sair do país, com todo o seu Direito, e investir em um outro país que respeite as liberdades e a  meritocracia, Esta é a Eleição mais importante da história do Brasil e para o Destino dos Brasileiros, de nada vai adiantar reclamar no dia seguinte,  depois de trazer Lula e a Facção Criminosa do PT de volta a cena do Crime. :Brazil:",0
