../datasets/telegram/parte_1_telegram.csv -> ./resultados/telegram/prompt_dicionario_parte_1.csv | Tempo: 0.22 min | Prompt tokens: 9324 | Saída tokens: 356 | Total tokens: 9680
../datasets/telegram/parte_2_telegram.csv -> ./resultados/telegram/prompt_dicionario_parte_2.csv | Tempo: 0.21 min | Prompt tokens: 9368 | Saída tokens: 300 | Total tokens: 9668
../datasets/telegram/parte_3_telegram.csv -> ./resultados/telegram/prompt_dicionario_parte_3.csv | Tempo: 0.23 min | Prompt tokens: 8384 | Saída tokens: 356 | Total tokens: 8740
../datasets/telegram/parte_4_telegram.csv -> ./resultados/telegram/prompt_dicionario_parte_4.csv | Tempo: 0.22 min | Prompt tokens: 8497 | Saída tokens: 356 | Total tokens: 8853
../datasets/telegram/parte_5_telegram.csv -> ./resultados/telegram/prompt_dicionario_parte_5.csv | Tempo: 0.22 min | Prompt tokens: 8477 | Saída tokens: 356 | Total tokens: 8833
../datasets/telegram/parte_6_telegram.csv -> ./resultados/telegram/prompt_dicionario_parte_6.csv | Tempo: 0.22 min | Prompt tokens: 8558 | Saída tokens: 356 | Total tokens: 8914
../datasets/telegram/parte_7_telegram.csv -> ./resultados/telegram/prompt_dicionario_parte_7.csv | Tempo: 0.21 min | Prompt tokens: 9135 | Saída tokens: 356 | Total tokens: 9491
../datasets/telegram/parte_8_telegram.csv -> ./resultados/telegram/prompt_dicionario_parte_8.csv | Tempo: 0.22 min | Prompt tokens: 9030 | Saída tokens: 356 | Total tokens: 9386
../datasets/telegram/parte_9_telegram.csv -> ./resultados/telegram/prompt_dicionario_parte_9.csv | Tempo: 0.21 min | Prompt tokens: 8607 | Saída tokens: 356 | Total tokens: 8963
../datasets/telegram/parte_10_telegram.csv -> ./resultados/telegram/prompt_dicionario_parte_10.csv | Tempo: 0.23 min | Prompt tokens: 9370 | Saída tokens: 356 | Total tokens: 9726
../datasets/telegram/parte_11_telegram.csv -> ./resultados/telegram/prompt_dicionario_parte_11.csv | Tempo: 0.23 min | Prompt tokens: 8342 | Saída tokens: 356 | Total tokens: 8698
../datasets/telegram/parte_12_telegram.csv -> ./resultados/telegram/prompt_dicionario_parte_12.csv | Tempo: 0.22 min | Prompt tokens: 9403 | Saída tokens: 300 | Total tokens: 9703
