id,text_content_anonymous,rotulo_modelo
231,"Infelizmente não vai dá em nada.. Política não leva ninguém a Deus só divide as pessoas... Vamos orar a cada dia, estou falando sério, ajoelhem e clamem a Deus :folded_hands:",0
1249,"Me disseram que vão pegar o número de nosso título e quando chegarmos pra votar já vão ter votado em nosso lugar. Agora fiquei em dúvida 
Tudo é possível pra essa esquerda",1
700,"Sim Marcelo eu entendo perfeitamente,eu segunda feira dia,03 também estava com os nervos a flor da pele, mais graças a DEUS que agente se coloca de joelhos diante do SENHOR,e ele derrama sobre nós a sua paz e refrigera a nossa alma e espírito",1
2088,Mais que vontade de ser governador. Sai fora poste do lulaladrao.,1
310,Eu também  só nordestina  mas nunca  votei Lula  sempre  votei  Bolsonario  outras agora  mas tem gente  fica culpado  os nordestinos em todos  vota este cara com Lula  mas um outros paga  eu voto 22 ele vai ganhar  Deus  abençoe a todos,1
490,"Presidente determinado no cumprimento de nobilíssina missão. 
Olhar fixado e irredutível na execução do seu dever, o qual considera a missão sagrada. Com sinceridade, amor e bravura de caráter vem desmontando magistralmente o sistema, criado para subjugar o povo no mundo, escravidando-o num aprisco de coletividade e miséria total.",1
2628,"Povo idólatra!!!
Lula é ladrão, satanista,filho da ira e da desobediência,é um maldito.
Mas adivinha?
Bolsonaro também é!
Assim como todos os políticos, todos os religiosos e todos que apoiam POLÍTICA E RELIGIÃO, SAO FILHOS DO DIABO.
O PAI E O MESSIAS NAO ESTA NISSO.",1
743,"Se a imprensa mente na cara dura sobre as manifestações do 7 de Setembro, distorcendo aquilo que todos estão vendo com seus próprios olhos, imagina as falcatruas que ela faz em relação a número de mortos na pandemia, ocultação de reações adversas de vacinas, novos vírus, etc? Se ela mente sobre fatos públicos que são patentes aos olhos de todo o povo, imagine nas coisas que são mais difíciceis de verificar. A manipulação da mídia sobre o 7 de setembro deixou ainda mais claro o trabalho sujo de desinformação e manipulação que eles realizam todos os dias envolvendo os mais variados temas.",0
607,"Sempre quando há grandes eventos,  relatos de OVNIS começam a surgir. É,  no mínimo,  estranho. :thinking_face:",0
824,"Na época foi a maior traição do Lula contra pessoas que pedem asilo por perseguição política, mandando capturar os atletas e os devolvendo para Cuba. Deu indignação ver isto do governo brasileiro. VERGONHA para o Brasil que entrega perseguidos aos algozes..

Enquanto o terrorista italiano Cesare Batiste com 4 assassinatos cometidos na Italia em atos terroristas e com pedido de extradição do governo / justiça italiana, Lula deu proteção no seu último dia de governo. VERGONHA para o Brasil  novamente, pais que protege criminosos..

É assim, Lula persegue inocentes e protege criminosos.",1
976,INFELIZMENTE OS BOLSONARISTAS CAEM EM TUDO O QUE A ESQUERDA INVENTA....,0
2361,"Monstro midistico comunista do Fiye em Casa até morrer , os mesmos curtindo a vida em paraísos turísticos.",1
2947,"E mesmo vc e Deus, pra saber do meu comportamento? vai tomar no seu cu vc, não manda em mim  comunista! de bosta!  eu luta aqui a anos pra vc vim falar merda pra mim. Se incomodou sim vai se fuder não sou besta :thumbs_up::smiling_face_with_horns:eu sei quem sou e vc e :smiling_face_with_horns::rat::face_vomiting::thumbs_up:",1
578,"As vezes o telegram me deixa no modo lento, se acontecer de não enviar videos, ou foto é o modo lento :thumbs_up:  uns minutos e volta ao normal",0
1933,Onde estão os petistas que sempre reclamaram da ditadura militar que perseguia os terroristas e deixava os esquerdistas caviás ocuparem as redações de jornais e revistas para vender o inferno comunista como se fosse o paraíso?,1
1556,Passando aqui só pra lembrar vcs que o luladrao não e paz e amor não ele e bandido velho,1
58,"Já falaram que esse áudio é do Daniel Silveira, do Flávio Bolsonaro e agora vejo Eduardo Bolsonaro... Daqui a pouco vão dizer que é do Carlos Bolsonaro....
E se fosse de um outro cidadão?
Enfim, não estou falado de você que compartilhou a informação, mas apenas esclarecendo para os outros para não ficarem repassando esse áudio dizendo que é de filando ou beltrano... Apenas repassem o áudio!",0
