../datasets/wpp/parte_1_wpp.csv -> ./resultados/wpp/role_prompting_parte_1.csv | Tempo: 0.14 min | Prompt tokens: 4521 | Saída tokens: 304 | Total tokens: 4825
../datasets/wpp/parte_2_wpp.csv -> ./resultados/wpp/role_prompting_parte_2.csv | Tempo: 0.13 min | Prompt tokens: 3887 | Saída tokens: 304 | Total tokens: 4191
../datasets/wpp/parte_3_wpp.csv -> ./resultados/wpp/role_prompting_parte_3.csv | Tempo: 0.13 min | Prompt tokens: 3916 | Saída tokens: 304 | Total tokens: 4220
../datasets/wpp/parte_4_wpp.csv -> ./resultados/wpp/role_prompting_parte_4.csv | Tempo: 0.14 min | Prompt tokens: 3332 | Saída tokens: 304 | Total tokens: 3636
../datasets/wpp/parte_5_wpp.csv -> ./resultados/wpp/role_prompting_parte_5.csv | Tempo: 0.13 min | Prompt tokens: 3409 | Saída tokens: 304 | Total tokens: 3713
../datasets/wpp/parte_6_wpp.csv -> ./resultados/wpp/role_prompting_parte_6.csv | Tempo: 0.14 min | Prompt tokens: 3524 | Saída tokens: 304 | Total tokens: 3828
../datasets/wpp/parte_7_wpp.csv -> ./resultados/wpp/role_prompting_parte_7.csv | Tempo: 0.14 min | Prompt tokens: 3384 | Saída tokens: 304 | Total tokens: 3688
../datasets/wpp/parte_8_wpp.csv -> ./resultados/wpp/role_prompting_parte_8.csv | Tempo: 0.13 min | Prompt tokens: 4556 | Saída tokens: 304 | Total tokens: 4860
../datasets/wpp/parte_9_wpp.csv -> ./resultados/wpp/role_prompting_parte_9.csv | Tempo: 0.12 min | Prompt tokens: 3368 | Saída tokens: 304 | Total tokens: 3672
../datasets/wpp/parte_10_wpp.csv -> ./resultados/wpp/role_prompting_parte_10.csv | Tempo: 0.12 min | Prompt tokens: 4277 | Saída tokens: 304 | Total tokens: 4581
../datasets/wpp/parte_11_wpp.csv -> ./resultados/wpp/role_prompting_parte_11.csv | Tempo: 0.11 min | Prompt tokens: 4088 | Saída tokens: 304 | Total tokens: 4392
../datasets/wpp/parte_12_wpp.csv -> ./resultados/wpp/role_prompting_parte_12.csv | Tempo: 0.14 min | Prompt tokens: 3980 | Saída tokens: 304 | Total tokens: 4284
../datasets/wpp/parte_1_wpp.csv -> ./resultados/wpp/role_prompting_parte_1.csv | Tempo: 0.12 min | Prompt tokens: 4521 | Saída tokens: 304 | Total tokens: 4825
../datasets/wpp/parte_2_wpp.csv -> ./resultados/wpp/role_prompting_parte_2.csv | Tempo: 0.13 min | Prompt tokens: 3887 | Saída tokens: 304 | Total tokens: 4191
../datasets/wpp/parte_3_wpp.csv -> ./resultados/wpp/role_prompting_parte_3.csv | Tempo: 0.12 min | Prompt tokens: 3916 | Saída tokens: 304 | Total tokens: 4220
../datasets/wpp/parte_4_wpp.csv -> ./resultados/wpp/role_prompting_parte_4.csv | Tempo: 0.12 min | Prompt tokens: 3332 | Saída tokens: 304 | Total tokens: 3636
../datasets/wpp/parte_5_wpp.csv -> ./resultados/wpp/role_prompting_parte_5.csv | Tempo: 0.14 min | Prompt tokens: 3409 | Saída tokens: 304 | Total tokens: 3713
../datasets/wpp/parte_6_wpp.csv -> ./resultados/wpp/role_prompting_parte_6.csv | Tempo: 0.12 min | Prompt tokens: 3524 | Saída tokens: 304 | Total tokens: 3828
../datasets/wpp/parte_7_wpp.csv -> ./resultados/wpp/role_prompting_parte_7.csv | Tempo: 0.12 min | Prompt tokens: 3384 | Saída tokens: 304 | Total tokens: 3688
../datasets/wpp/parte_8_wpp.csv -> ./resultados/wpp/role_prompting_parte_8.csv | Tempo: 0.15 min | Prompt tokens: 4556 | Saída tokens: 356 | Total tokens: 4912
../datasets/wpp/parte_9_wpp.csv -> ./resultados/wpp/role_prompting_parte_9.csv | Tempo: 0.13 min | Prompt tokens: 3368 | Saída tokens: 304 | Total tokens: 3672
../datasets/wpp/parte_10_wpp.csv -> ./resultados/wpp/role_prompting_parte_10.csv | Tempo: 0.13 min | Prompt tokens: 4277 | Saída tokens: 304 | Total tokens: 4581
../datasets/wpp/parte_11_wpp.csv -> ./resultados/wpp/role_prompting_parte_11.csv | Tempo: 0.11 min | Prompt tokens: 4088 | Saída tokens: 304 | Total tokens: 4392
../datasets/wpp/parte_12_wpp.csv -> ./resultados/wpp/role_prompting_parte_12.csv | Tempo: 0.11 min | Prompt tokens: 3980 | Saída tokens: 304 | Total tokens: 4284
