text_content_anonymous,preconceito,id,rotulo_chatgpt
"Todos que são do Bolsonaro sai imediatamente deste grupo pois estão muitos Petistas infiltrado no meio Para segredinho o Nosso Presidente Bolsonaro 
Estão digitando ser da direita saia imediatamente :man_pilot::man_pilot::man_pilot::man_pilot::man_pilot:",0,481,1
"Eu confesso, não tenho paciência com os parentes e chegados, vc sabe que é psicopata e vai deixar eles pensarem que vc é idiota? Nem, rasgo logo o verbo. Pior que dá certo. Ficam tão irados por saber que vc não é alienada, doutrinada facilmente por eles, que te xingam, humilham vc na frente da família achando que assim irá converter mais familiares pra grande causa comunista. Fica alerta sempre, rogue a Deus que Te Proteja. O Espírito Santo de Deus, falará usando vc contra o maligno. Não desanime, a Luz, sempre vence as trevas.  Ceiça Neves.",1,2588,1
"Isentão você desceu do muro, agora está do lado do ladrão, a partir desse momento você será tratado do que você é de petralha .",1,2663,1
"Acho q o canal no telegram q foi bloqueado,pq o vídeo no YouTube tá normal",0,522,1
"Meu Deus a mídia sempre foi nossa inimiga, um dos caras mais qualificados que se candidatou para presidente era tratado como um louco.",0,582,1
"Liz Truss: Avanço da economia não tem sido suficientemente forte

Minhas prioridades são crescimento, crescimento, crescimento

:yellow_circle: Vamos reduzir a carga tributária

Primeira-ministra do Reino Unido, Liz Truss, discursa em evento do partido Conservador

Fonte: BDM

:small_orange_diamond: t.me/alexeconomia",0,233,1
Vamos identificar os esquerdista no grupo e passar para os admin,0,888,1
quer espantar um petralha?,1,1880,1
"Gente, bom dia!
Eu sei que esse não é o principal intuito do grupo, mas mando essa mensagem já como pedido de socorro. Meu tio é esquizofrênico e o psiquiatra passou remédio muito caro, infelizmente no momento não estamos com condições pra pagar porque cada caixa custa 129,00 reais do aririprazol ele passou duas, e 78,00 reais o quetiapina. Se alguém puder me ajudar com qualquer valor que seja gente ficaremos muito gratos, E se precisar que eu comprove me chame no privado que eu mando a receita.

A chave do pix gente é email [EMAIL]",0,461,0
":rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:quer calcificar a glândula pineal de todos para se manter cegos e controlados,manda a petezada tomar esse experimento que destrói seu organismo e não cura e nem protege nadaaaa e tira sua percepção essa, seu raciocínio e seu lado espiritual pois calcifica a glândula pineal,onde o sistema assim controla vc através da mídia :person_shrugging:",1,2498,1
"Pessoal, hipótese:

O Ciro não fez um simples teatro das tesouras, ele foi o wingman do Lula o tempo todo. Que a chance dele é em 2026 e ele percebeu isso, está bem claro, mas avaliem comigo, se o Lula leva no primeiro turno, as chances dele em 2026 ficam bem maiores apresentando a narrativa de q nem o Lula nem o Bolsonaro deram certo, então ele seria a próxima alternativa lógica. Mas então porque ele atacou o Lula de forma tão feroz e foi tão ""cordial"" com os demais se ele não iria apoiar o candidato ferozmente atacado em um eventual segundo turno?

Aí eu pergunto, o Ciro achava minimamente q teria segundo turno? Ou ele estava CONVICTO de q a fatura ia ser resolvida no primeiro?",0,679,0
"Com certeza Stf e Ste sao militantes partidarios e agem a favor do ex-condenado e se não pararem eles, eles nos pararao. Presidente bolsonaro deveria agir, nao adianta mais mandar o povo ir pra rua, nada disso adiantou, xandao ja mostrou quem manda e rasgou a constituiçao e  passou das 4 linhas, e esses atos nao podem ficar impunes:red_exclamation_mark:É o fim da liberdade de expressao, um caminho sem volta:red_exclamation_mark:Nos dias atuais, dizer a verdade e amar a verdade se tornou um ato revolucionário, heroico.",0,115,1
"Pode sim eu tenho 3 e eu trabalho e pago minha vizinha para fica com eles , ja morei em vila e trabalho de doméstica e agora vendo e pano de prato  uma micro empresa de pano de prato Por isso que eu.saia da escravidão que eu a esquerda fez vive.acorda esquerda!!!",0,874,1
"Exatamente.  A mídiacomunista está sendo muit9 bem paga pelo Molusco.

Agora Brasil está rico , melhores do mundo, irá emprocer de novo o que está acontecendo com a Argentina, Chile, Nicarágua, Venezuela, México, USA,  Canadá,  Vaticano,   Bolívia,  Cuba, Panamá, México, UE, Austrália,  N. Zelândia, etc.


Eles querem as riquezas que o Presidente com Paulo Guedes conseguiram de volta, por isso compraram a mídia pata meter o pau à manifestação.",1,1581,1
"Irmão, com a esquerda no poder, o Brasil vai afundar... Estamos na luta pra reeleger o presidente Bolsonaro pra que o pior não aconteça, basta ver os países que são apoiados pelo governo comunista de esquerda... Estamos na luta pra o Bolsonaro ganhar pq vai ser para o nosso bem... Não adianta você ficar insultando o cara pq isso não passa de ser Maria vá com as outras .. da uma pesquisada aí e se liga como estaremos com o comunismo implantado aqui ... Sem contar que o lula deve estar no ódio por a esquerda ter perdido alguns anos no poder",1,1684,1
"E a direita dizendo que vai votar nesse quadrilheiro.
Senhores, existe uma quadrilha que fudeu e continua fedendo o estado. Os cabeças são Cabral, Paes, Picciani...e Castro faz parte dessa quadrilha.
Ele está apoiando o filho do Cabral. Sabem qual o partido do filho do Cabral? PP que está coligado ao PL, partido do Bolsonaro.

O que quero dizer com isso?
Esqueçam partido. Busquem pessoas.

E ainda querem difamar o Novo. Quando peço fatos só apresentam narrativas ou as idiotices de Amoedo.

Ganime é o único candidato ao governo do RJ de direita.
Competente, inteligente e honesto.

Por que será que nós debates ele não foi em nenhum momento atacado?",0,1005,0
"Essas eleições podem, infelizmente, significar como será nossa vida e de nossos filhos NOS PRÓXIMOS 50 ANOS.

A esquerda NÃO PODE voltar para o poder!

Assim como o Rio de Janeiro e Minas Gerais, nós estamos trabalhando para manter a esquerda longe do nosso Estado...

São Paulo é reconhecidamente importante para o Sudeste e eles precisam de nós!

Apoie candidatos que estão trabalhando FORTE lado a lado com o Presidente Bolsonaro

COMPARTILHE ESSA COLINHA com seus contatos e LEVE EM UM PAPEL NO DIA DAS ELEIÇÕES...

O Brasil precisa do Sudeste, o Sudeste precisa de São Paulo, e São Paulo precisa de você e eu...",0,1085,0
"Muito óbvio . Petistas aqui postando tudo o que é fake apenas para tentar enganar a si mesmo . Pq os que são da direita aqui, são informados e não alienados com postagens absurdas , fotos montadas (e muito óbvio ).",0,765,1
"Você que é FIEL a BOLSONARO eu entendo que queira votar em Romário porque ele é do partido do Presidente.

Mas entenda que o Presidente NÃO É dono do PL infelizmente.
Essa é a realidade, infelizmente, meu amigo.

O PTB de fato é o único partido que veios APENAS com candidatos CONSERVADORES.

VOTAR DANIEL SILVEIRA 142 é MARCAR POSIÇÃO CONSERVADORA e dar UM RECADO AO SUPREMO.

No nome de Jesus eu peço a você que é Bolsonarista e/ou evangélico (como EU SOU):

Esqueça ROMÁRIO
Esqueça CLARISSA

Precisamos marcar um POSIÇÃO CONSERVADORA

Vamos abençoar esse casal que é perseguido pelos urubus:
VOTEMOS TODOS
DANIEL SILVEIRA 142
PAOLA SILVEIRA 1441",0,1319,0
O professor Olavo de Carvalho já falou quem são. Os fatos ao longo da história provam o que afirmamos e você não está sendo enganado por nós.,0,601,1
"Ok, mas até a esse sistema o Bolsonaro se opôs. Nosso presidente pessoas que moram em países de ""1º mundo"" sonharem em ter um presidente como o nosso. Foi um dos raríssimos presidentes que peitou a vacinação forçada, o passaporte sanitário, o lockdown ditatorial (a população nunca foi consultada se concordava) e a liberdade de escolha sobre qual tratamento e remédio tomar. Ele foi, e é, uma pedra no sapato do sistema globalista. Até quando aguentará, não sabemos. Mas é desonesto dizer que ele é empregado desse sistema.",0,422,1
"Bolsonaro vendeu o povo pro satanás  e também é abortista. Meu Deus,  como pude votar num homem desse? Fui enganado ppr um fariseu.  Tá repreendido em nome do Senhor.  Eu e minha família  é minha congregação  aqui em Planaltina-DF estamos horrorizados com tantos absurdos que estamos recebendo . Tem até  a Michele num templo Maçon no casamento daquela Sambely q é deputada",1,2759,1
"Então vamos fazer nossa parte não só captando votos , vc viu como foi a votação no domingo passado? se vc acha que só voto é suficiente vc tem que acordar , temos que nos posicionar como patriotas, palavras de ordem e expulsar os comunista do país não ficar aqui só escondido em grupos que só tem conservador postando vídeos.",1,2550,1
"Os brasileiros burros e sem estudo, que cai no discurso da esquerda! O Brasil mudou ! Despertou! Bolsonaro nesses comunistas",1,2299,1
":police_car_light::police_car_light::police_car_light:atenção todos tem que entrar nas páginas da esquerda e simplesmente disser uma verdade que votem 22 e saberemos a verdade e se não for podemos tirar,mas se der lula fica Alkimim e esse o plano da esquerda,acordem a petezada urgente,reta final para cima deles :oncoming_fist::victory_hand::victory_hand:",1,2747,1
Nós da direita estamos pisando num campo minado. Nosso presidente vai agir na hora certa. Deixa os petralhas festejar. Quem rir por último ri melhor.,1,2948,1
"Furem a bolha. Conversem com as pessoas nas ruas, nos eventos, nas casas. Grupo de WhatsApp é ambiente de convertido. É necessário ir atrás daqueles que estão de fora dos movimentos.

Explique às pessoas a tragédia que será um governo petista. Faça um comparativo com os nossos vizinhos da América do Sul.

Explique os crimes cometidos pelo ex-presidiário, se for necessário, desenhe. Diga também que o criminoso não foi inocentado, foi descondenado por razão de CEP, e que foi condenado por mais de 30 juízes, não somente o Moro.

Explique o bandido é a favor do aborto, ideologia de gênero, casamento infantil, casamento entre pais e filhos (Orlando Silva tem um PL 3369/2015, PCdoB é PT).

Em fim, fure a bolha.

Vote 22 - [USER]",0,792,1
