text_content_anonymous,id
"Soraia-""padre, vc não tem medo de ir pro inferno?""
Padre-""vc não tem respeito, mandando um padre pro inferno""
:rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:",686
Sim N é o fim do mundo só se a esquerda ganha aí s,1517
"*A caminho de Joinville para encontrar nosso capitão!* :Brazil:

Hoje tem motocarreata em Joinville, às 16h.

:spiral_calendar:01/10
:alarm_clock:16h
:round_pushpin:Joinville

Deus, Pátria, Família e Liberdade! :Brazil::Brazil::Brazil:

*Confira nossa colinha em ordem de votação:*


:keycap_2::keycap_2::keycap_1::keycap_0: Deputada Federal *DANIELA REINEHR*


:keycap_2::keycap_2::keycap_3::keycap_3::keycap_3:Deputado Estadual *NEURI MANTELLI*


:keycap_2::keycap_2::keycap_2: Senador *JORGE SEIF*


:keycap_2::keycap_2: Governador *JORGINHO MELLO*


:keycap_2::keycap_2: Presidente *BOLSONARO*

*Envie essa mensagem para os seus amigos* :mobile_phone_with_arrow:",919
":loudspeaker::infinity:
*REFLEXÃO PARA O SEU DIA_A_DIA DE UM CIDADÃO BRASILEIRO !!!*

VEJO O JULGAMENTO TODOS OS DIAS, VEJO MAIS A HIPOCRISIA DO ELEITOR.
É até muito engraçado o brasileiro:
Passar a vida colocando dinheiro :money_with_wings::four_leaf_clover: na poupança,,  compra um carro do seu sonho, faz o seguro do carro, fica com medo do ladrão roubar o seu único bem vitorioso;

Compra uma casa :house_with_garden: do seu sonho, erguer um muro bem alto, até coloca grampos e cerca elétrica, com medo do ladrão roubar os seus bens; 

Compra um celular do seu sonho, faz seguro do celular, quando o cidadão sai de casa :house_with_garden: coloca o celular dentro da calça, com medo do ladrão roubar;

O cidadão evita sair de casa :house_with_garden: com a família, com medo do ladrão.

Ai sai de casa :house_with_garden: dia 30 de outubro para VOTAR no LULALADRÃO. Entenda esse tipo de ELEITOR ...!!!!

Fica a dica para os valores da família conservadores brasileira sólida!!! :eye_in_speech_bubble:",2460
É burra demais.  *Faz o J* nem sabe fazer o *L de Ladrão*,2640
"O PAU CANTOU NO TERREIRO DE PAI LULA.
REUNIÃO DA GANG DE 9DEDOS ACABA EM  “RISQUE A FACA” ENTRE COMUNISTAS.",133
Mas Deus está no controle vai ser no primeiro turno :oncoming_fist_light_skin_tone:,1101
É claro! Ele precisa pagar o apartamento que ganhou em Paris!,174
"Estamos numa vigília.
Quer participar?
Reze um ""Pai Nossso"" 
e depois passe para mais dez pessoas.
É uma vigília para que nossas eleições não tenha maracutaia, que seja limpa, que Deus tenha misericórdia de nós!!!:folded_hands::folded_hands:
Se não puder, avise, só pra não quebrar a vigília.
Grata
:folded_hands_medium_skin_tone::face_blowing_a_kiss::Brazil::Brazil:",501
"Boa noite :crescent_moon: mais um dia vencido!!
Indo para vitória se Deus quiser!! Brasil acima de tudo Deus acima de todos!!!",277
Entreguista traidor da pátria,841
"Minha gratidão ao nordeste e ao nordestino.

“O sertanejo é, antes de tudo, um forte. Não tem o raquitismo exaustivo dos mestiços neurastênicos do litoral. A sua aparência, entretanto, ao primeiro lance de vista, revela o contrário.”
(Os Sertões - Euclides da Cunha)",1426
"Neste domingo a festa será do povo de bem!
A festa será nas igrejas e não nos presídios
A festa será da família cristã e não nos terreiros de macumba e nem dos satanistas !",2775
"Não é só fantasiosa, é criminosa de tão idiota. Realmente não acredito que após tanto tempo da derrota do Trump tem alguém acreditando em operação storm. O que me pergunto é somente se quem cria esse tipo de conteúdo é esquizofrênico, se é proposital para enganar gente muito burra ou se está só tirando um barato. Seja como for a existência e compartilhamento desse tipo de loucura talvez dê uma pista da razão dessa derrota que não começou hoje.",2839
Depender dos nordestino a gente morre sendo conhecido por ser um povo sofredor,2662
"Gente, passando pra dar um aviso! Atenção que é importante! :police_car_light:

No dia 2 de outubro, não pode entrar com celular na cabine de votação. Então não esquece de providenciar a sua colinha física aí, hein! E se precisar, é só chegar aqui no nosso comitê até sábado, na rua Coronel Manoel Alves, número 201. E reforçando: Federal é 1199, é Ana Paula Junqueira Leão e confirma :check_mark_button:

#AnaPaulaÉFederal #Vote1199 #AFederalQueAGentePrecisa",457
"*Padre Kelmon sofre atentado e morre , petista mata padre a mando de Lula , isso que vcs querem brasileiros ?? Acordem não aceitem esse terrorismo da esquerda*",1066
"Esse jornalista da Bandeirantes chamou todas as pessoas e os caminhoneiros que participaram dos movimentos de hoje. (02/novembro/2022) de IDIOTAS.                                   Ele entende que e' normal o POVO BRASILEIRO aceitar um bandido , criminoso , julgado e CONDENADO em 3 instâncias da justiça e por cerca de 12 juízes de Direito e descondenado por um advogado/juiz (juiz nomeado pelo próprio ex-presidente condenado) do STF ser PRESIDENTE DA REPÚBLICA.     Vamos divulgar isso e nao assistir mais a BANDEIRANTES.   PS: Falou agora a noite no Jornal da Bandeirantes por volta das 20 horas",2898
O boso vai ficar louco sem o apoio do ACM NETO na Bahia,49
"Esse imbecil ao invés  de estudar e preparar o seu futuro, fica defendendo bandido, nz esperança  de arrumar uma boquinha.
Garoto não  se engane, os bandidos só  vão  te usar e te dar uma migalhas.",2990
Idiota o assunto agora não é esse.... Sai pra la satanás.,1934
"Não, Na minha sessão eram bolsonaristas além das camisas estavam com adesivo do mito e muitas com frase do mito, igual a que eu tava. Deus, pátria e família",1348
"Além de tudo é burra, não entende o contexto da conversa.",1889
Um dos apoiadores de Luladrão já caiu! Pior cego é o que não quer vê,2190
"Eu vivi o governo da Luladrão e da Dilmanta, uma vergonha, nunca vi tanta roubalheira em minha vida, esse safado tem que voltar pra cadeia e nao voltar a presidir o Pais, a Dilmanta não,  por que aquela doida so foi massa de manobra do larápio.",1945
"NOVA ORDEM MUNDIAL. O GOOGLE É ""NOM"" TAMBÉM :angry_face_with_horns::angry_face_with_horns::angry_face_with_horns::angry_face_with_horns::angry_face_with_horns::angry_face_with_horns::angry_face_with_horns::angry_face_with_horns::angry_face_with_horns::angry_face_with_horns::angry_face_with_horns::angry_face_with_horns::angry_face_with_horns::angry_face_with_horns::angry_face_with_horns::face_vomiting::face_vomiting::face_vomiting::face_vomiting::face_vomiting::face_vomiting::face_vomiting::face_vomiting::face_vomiting::sunglasses::angry_face_with_horns::face_vomiting::face_vomiting::face_vomiting::eyes::eyes::eyes::eyes::eyes::eyes::face_vomiting:RABUDO OLHUDO SATANÁS LULADRÃO  NOM GOOGLE.",2720
"E fica nisso o dia TODO, ele não toma vergonha na cara, não sai da bolha e continua nos fudendo sendo esse burro que ele é. 

Incrível como o Neoliberalismo yankee comeu o cérebro desse bosta e isso se repete em TODOS os grupos, essa turma está dentro de uma bolha da doutrinação neoliberal americana que o bolsominion, petista militonto, morominion e cirete de pompom se unem pra nos fuder. 

Eles são iguais, TODOS analfabetos políticos fanáticos e hipócritas",2196
"Chora e segue o líder, seu filho da puta",1588
precisa dizer mais... ??? será que os PETRALHAS não enxergam que TB VÃO passar por isso... Amostra de 2023 :backhand_index_pointing_up_light_skin_tone:com o LULAdrão :crying_face:,2649
"luLADRÃO CACHACEIRO VAGABUNDO PILANTRA VIGARISTA FACÍNORA TRAPACEIRO MENTIROSO CANALHA CRÁPULA, ONDE ESTÁ O DINHEIRO DAS 2 REFINARIAS!? :face_with_steam_from_nose::face_with_raised_eyebrow:                                            MANDOU PROS PAISES COMUNISTAS AMIGOS SEUS!?? QUANTO, NO CASO, ENTROU DE COMISSÃO!??? :heavy_dollar_sign::heavy_dollar_sign::heavy_dollar_sign:                                 CÂNCER MALDITO DO BRASIL! :face_vomiting::face_vomiting::flexed_biceps::face_with_symbols_on_mouth::enraged_face::oncoming_fist:",2488
Pesado foi a pistola que eu vi ! E nem precisava disso tudo se ele disseese : me dá tudo gordinha:face_with_symbols_on_mouth: só na sugesta eu tinha dado,334
*Como calar um esquerdopata idiota!*,2787
LULADRÃO covardemente fugindo das verdades sobre seu passado sujo de comunismo e corrupção no Brasil,2634
"Eleitor do Luladrao, pensando que pode andar nú só porque o ladrão acha que vai ganhar.  Mas foi con sucesso.",2044
"Alô pessoal de Poços de Caldas e de todo o sul de Minas Gerais, na sexta-feira tem nosso Presidente Bolsonaro!
Participe e divulgue!
Até a vitória no 1° turno, se Deus quiser!",440
"Comece bem o seu dia!                      -OREMOS PELA NAÇÃO BRASILEIRA! 

“Não desconsideres o valor e o poder da oração. 
O corpo necessita de alimento adequado para manter-se. 
Assim também o Espírito, que é a fonte de vitalização da matéria. 
A prece constitui um combustível de alta qualidade para a sua harmonia. 
Adquire o hábito dê orar, incorpora-o aos outros mecanismos naturais da tua existência e constatarás os benefícios disso decorrentes. Não te negues o pão da vida, que é a prece sincera e afervorada.”

(Do livro: Vida Feliz, pelo Espírito de Joanna de Ângelis.)",120
"Quanto ao resultado das eleições gerais de ontem; a Palavra de Deus nos orienta:
“Não se irrite por causa dos malfeitores… confia no Senhor e faze o bem…” Salmos 37.1,3 :menorah:",1825
"Guardemos firmemente a esperança da fé que professamos, pois podemos confiar que Deus cumprirá as suas promessas.
(Hebreus, cap. 10: ver. 23) Segunda-feira 03-10-2022.",1703
Nordestino tem é que vende capa de volante e tomar água do pipa pra sempre,1418
