id,text_content_anonymous,rotulo_modelo
972,"*ELEITORES DO RIO DE JANEIRO*

Votar no *ROMÁRIO* ou na *CLARISSA Garotinho* é o mesmo que votar no *STF*, pois o *ROMÁRIO* se elegeu com *ajuda do PT em 2014*, logo ele votou de acordo com a *ESQUERDA*, ajudando a desidratar o *Presidente BOLSONARO!*
O *ROMÁRIO* também tem processos na gaveta do *STF* assim como a *CLARISSA Garotinho*, que inclusive votou pela *PRISÃO* do *DANIEL SILVEIRA!*
Se caso impedirem a ida do *DANIEL SILVEIRA ao SENADO* mesmo sendo *ELEITO*, então, entra o suplente que é o *ANDRE MONTEIRO* (*Tenente do BOPE* e apoiador do *Presidente BOLSONARO*). 
O *RIO DE JANEIRO* não tem outra escolha é *DANIEL SILVEIRA 142*!!!",1
2163,Esse canalha é um petista infiltrado para se dar bem ainda te carioca que vota num imbecil desse ROMÁRIO LADRAO DO BRASIL FORA,1
897,Se empenhe hoje em fazer um clamor ao Senhor pela vitória a fim de que não tenha que fazê-lo futuramente para que ele enxugue suas lágrimas num cenário de quebradeira e fome como tem acontecido com nossos vizinhos que se deixaram levar novamente pelas ilusões da esquerda,1
1108,Ceara hj a noite  01/10/22 o velho ladrão vai toma uma trolhada no rabo que vai perder ate as pregas :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,1
2208,"Vc não tem base literária alguma, não leu as leis e reformas sancionadas pelo Presidente da República e se acha patriota e diferente do petista militonto.

Isso chama-se hipocrisia e vc é um hipócrita burro igualzinho o petralha",1
1275,"Meu Deus, é muito amor pelo nosso país !
Que Deus continue lhe abençoando :folded_hands::folded_hands::folded_hands:",0
2470,"*Amanhecemos sob o manto da CENSURA DO TSE E STF.* 

É muito importante saber que TODAS AS MEDIDAS DE CENSURA foram pedidas pelo PT, pelo partido do Lulaladrão e algumas por apoiadores esquerdistas deles. Eles nem venceram as eleições, mas comandam medidas ditatoriais, totalitárias através de ministros fantoches que foram colocados nos tribunais por eles. Agem como uma quadrilha que conspira contra o Brasil. 

Se você não liga e ainda quer votar num partido que saqueou a nação, num candidato corrupto e sem qualquer escrúpulos como Lula da Silva, pelo menos PENSE E REFLITA: TUDO BEM PRA VOCÊ VOTAR EM QUEM PROMOVE A CENSURA E O TOTALITARISMO? 
Em quem tira a LIBERDADE DE EXPRESSÃO E DE IMPRENSA? Que tira veículos de imprensa do ar? Que impede pessoas de ganharem seu sustento através da monetização de canais de redes sociais cujo acesso é espontâneo?",1
2220,"Cara .
Vira homem e deixa de ser viado e vai trabalhar",1
1915,"Bolsominion é burro pqp. 

Olha o nível desse carniça bolsopetista analfabeta política de merda",1
2934,O SENHOR ESTÁ SE REFERINDO A QUEM É A MIM! PRIMEIRO PONTO PROCURE SABER COM QUEM O SENHOR ESTÁ FALANDO QUANTO AO TEXTO QUE EU POSTEI SEU IMBECIL VAI ENTENDER O QUE ESTÁ ESCRITO PARA NÃO FALAR IMBECILIDADE,1
566,:folded_hands: MEIS PARES E DESCENDENTES SABERÃO DISSO. ... PORQUE EU NUNCA ME ESQUECEREI. . . BOLSONARO. . .  HOMEM UNGIDO E ABENÇOADO POR DEUS ! ! !  :Brazil:,0
1901,Já está anunciado que ela quer falar cara a cara com Luladrao para apoia-lo,1
577,Eu tenho um primo meu que e mesario fraude acontece tanto pra esquerda tanto pra Direita a forca armadas nao fiscaliza todas as urnas,0
388,Olá a todos venho comunicar que já estou agendando consulta lembrando que a consulta presencial  não é cobrada e sim a consulta via WhatsApp estamos a disposição de todo ao público venha nos conhecer nosso trabalho indígena tratar da sua saúde e meu prazer.,0
1852,"Muito obrigado aos 87 mil e 994 votos, mas não é o momento de comemorar, é o momento de recuperar as forças e as energias para nós reelegermos o nosso Presidente Bolsonaro 22 e derrotar o desgoverno Casagrande elegendo o nosso Governador Manato 22! Deus Pátria Família e Liberdade",0
2717,Ô imbecil se o Tarcísio é bandido ladrão de nove dedos é o quê?,1
214,"*TIME DO BOLSONARO EM MNAS GERAIS*

*DEPUTADO ESTADUAL*
*CAROL FIGUEIREDO - Nº 22120*
SAM CLEVER - Nº 28727
CRISTIANO CAPOREZZO - Nº 22038
FLÁVIA BORJA - Nº 11177
BRUNO ENGLER - Nº 22222
CORONEL SANDRO - Nº 22011
AMANDA TEIXEIRA - Nº 22000
FERNANDA SALLES - Nº 10700

*DEPUTADO FEDERAL*
*GENERAL MÁRIO ARAÚJO - Nº 1070*
JUNIO AMARAL - Nº 2238
FERNANDO BORJA - Nº 1177
NIKOLAS FERREIRA - Nº 2222
MAURÍCIO DO VÔLEI - Nº 2210
MARCELO ÁLVARO - Nº 2217
FARLEY FREDERICO - Nº 2223
ALINE BASTOS - Nº 2202

*SENADOR*
CLEITINHO  Nº 200

*GOVERNADOR*
CARLOS VIANA 22

*PRESIDENTE*
JAIR BOLSONARO 22",0
