../datasets/wpp/parte_1_wpp.csv -> ./resultados/wpp/prompt_role_few_shot_parte_1.csv | Tempo: 0.16 min | Prompt tokens: 5316 | Saída tokens: 356 | Total tokens: 5672
../datasets/wpp/parte_2_wpp.csv -> ./resultados/wpp/prompt_role_few_shot_parte_2.csv | Tempo: 0.14 min | Prompt tokens: 4682 | Saída tokens: 304 | Total tokens: 4986
../datasets/wpp/parte_3_wpp.csv -> ./resultados/wpp/prompt_role_few_shot_parte_3.csv | Tempo: 0.19 min | Prompt tokens: 4711 | Saída tokens: 356 | Total tokens: 5067
../datasets/wpp/parte_4_wpp.csv -> ./resultados/wpp/prompt_role_few_shot_parte_4.csv | Tempo: 0.17 min | Prompt tokens: 4127 | Saída tokens: 356 | Total tokens: 4483
../datasets/wpp/parte_5_wpp.csv -> ./resultados/wpp/prompt_role_few_shot_parte_5.csv | Tempo: 0.16 min | Prompt tokens: 4204 | Saída tokens: 356 | Total tokens: 4560
../datasets/wpp/parte_6_wpp.csv -> ./resultados/wpp/prompt_role_few_shot_parte_6.csv | Tempo: 0.14 min | Prompt tokens: 4319 | Saída tokens: 304 | Total tokens: 4623
../datasets/wpp/parte_7_wpp.csv -> ./resultados/wpp/prompt_role_few_shot_parte_7.csv | Tempo: 0.17 min | Prompt tokens: 4179 | Saída tokens: 356 | Total tokens: 4535
../datasets/wpp/parte_8_wpp.csv -> ./resultados/wpp/prompt_role_few_shot_parte_8.csv | Tempo: 0.17 min | Prompt tokens: 5351 | Saída tokens: 356 | Total tokens: 5707
../datasets/wpp/parte_9_wpp.csv -> ./resultados/wpp/prompt_role_few_shot_parte_9.csv | Tempo: 0.16 min | Prompt tokens: 4163 | Saída tokens: 356 | Total tokens: 4519
../datasets/wpp/parte_10_wpp.csv -> ./resultados/wpp/prompt_role_few_shot_parte_10.csv | Tempo: 0.04 min | Prompt tokens: 5072 | Saída tokens: 12 | Total tokens: 5084
../datasets/wpp/parte_11_wpp.csv -> ./resultados/wpp/prompt_role_few_shot_parte_11.csv | Tempo: 0.14 min | Prompt tokens: 4883 | Saída tokens: 304 | Total tokens: 5187
../datasets/wpp/parte_12_wpp.csv -> ./resultados/wpp/prompt_role_few_shot_parte_12.csv | Tempo: 0.17 min | Prompt tokens: 4775 | Saída tokens: 356 | Total tokens: 5131
../datasets/wpp/parte_1_wpp.csv -> ./resultados/wpp/prompt_role_few_shot_parte_1.csv | Tempo: 0.15 min | Prompt tokens: 5316 | Saída tokens: 356 | Total tokens: 5672
../datasets/wpp/parte_2_wpp.csv -> ./resultados/wpp/prompt_role_few_shot_parte_2.csv | Tempo: 0.02 min | Prompt tokens: 4682 | Saída tokens: 16 | Total tokens: 4698
../datasets/wpp/parte_3_wpp.csv -> ./resultados/wpp/prompt_role_few_shot_parte_3.csv | Tempo: 0.17 min | Prompt tokens: 4711 | Saída tokens: 356 | Total tokens: 5067
../datasets/wpp/parte_4_wpp.csv -> ./resultados/wpp/prompt_role_few_shot_parte_4.csv | Tempo: 0.17 min | Prompt tokens: 4127 | Saída tokens: 356 | Total tokens: 4483
../datasets/wpp/parte_5_wpp.csv -> ./resultados/wpp/prompt_role_few_shot_parte_5.csv | Tempo: 0.17 min | Prompt tokens: 4204 | Saída tokens: 356 | Total tokens: 4560
../datasets/wpp/parte_6_wpp.csv -> ./resultados/wpp/prompt_role_few_shot_parte_6.csv | Tempo: 0.21 min | Prompt tokens: 4319 | Saída tokens: 304 | Total tokens: 4623
../datasets/wpp/parte_7_wpp.csv -> ./resultados/wpp/prompt_role_few_shot_parte_7.csv | Tempo: 0.17 min | Prompt tokens: 4179 | Saída tokens: 356 | Total tokens: 4535
../datasets/wpp/parte_8_wpp.csv -> ./resultados/wpp/prompt_role_few_shot_parte_8.csv | Tempo: 0.17 min | Prompt tokens: 5351 | Saída tokens: 356 | Total tokens: 5707
../datasets/wpp/parte_9_wpp.csv -> ./resultados/wpp/prompt_role_few_shot_parte_9.csv | Tempo: 0.16 min | Prompt tokens: 4163 | Saída tokens: 356 | Total tokens: 4519
../datasets/wpp/parte_10_wpp.csv -> ./resultados/wpp/prompt_role_few_shot_parte_10.csv | Tempo: 0.03 min | Prompt tokens: 5072 | Saída tokens: 12 | Total tokens: 5084
../datasets/wpp/parte_11_wpp.csv -> ./resultados/wpp/prompt_role_few_shot_parte_11.csv | Tempo: 0.15 min | Prompt tokens: 4883 | Saída tokens: 356 | Total tokens: 5239
