../datasets/wpp/parte_1_wpp.csv → ./resultados/wpp/gemini_fewShot_parte_1.csv | Tempo: 0.06 min
../datasets/wpp/parte_2_wpp.csv → ./resultados/wpp/gemini_fewShot_parte_2.csv | Tempo: 0.06 min
../datasets/wpp/parte_3_wpp.csv → ./resultados/wpp/gemini_fewShot_parte_3.csv | Tempo: 0.06 min
../datasets/wpp/parte_4_wpp.csv → ./resultados/wpp/gemini_fewShot_parte_4.csv | Tempo: 0.01 min
../datasets/wpp/parte_5_wpp.csv → ./resultados/wpp/gemini_fewShot_parte_5.csv | Tempo: 0.01 min
../datasets/wpp/parte_6_wpp.csv → ./resultados/wpp/gemini_fewShot_parte_6.csv | Tempo: 0.05 min
../datasets/wpp/parte_7_wpp.csv → ./resultados/wpp/gemini_fewShot_parte_7.csv | Tempo: 0.01 min
../datasets/wpp/parte_8_wpp.csv → ./resultados/wpp/gemini_fewShot_parte_8.csv | Tempo: 0.01 min
../datasets/wpp/parte_9_wpp.csv → ./resultados/wpp/gemini_fewShot_parte_9.csv | Tempo: 0.01 min
../datasets/wpp/parte_10_wpp.csv → ./resultados/wpp/gemini_fewShot_parte_10.csv | Tempo: 0.01 min
../datasets/wpp/parte_11_wpp.csv → ./resultados/wpp/gemini_fewShot_parte_11.csv | Tempo: 0.01 min
../datasets/wpp/parte_12_wpp.csv → ./resultados/wpp/gemini_fewShot_parte_12.csv | Tempo: 0.01 min
