text_content_anonymous,preconceito,num_tokens,Capacitismo,Gordofobia,Int.Religiosa,LGBTFobia,Misoginia,Xenofobia,Racismo,Hetarismo,Prec.Politico
"Sim, eu sou um ""decepcionado""!

Eu vejo pessoas tentando o ""jeitinho brasileiro"" para ganhar dinheiro na internet;

Eu vejo pessoas discutindo pessoas e não ideias, na internet;

Eu vejo pessoas descartando amigos e parentes por opinião política, através da dicotomia entre Direita e Esquerda;

Eu vejo pessoas tentando fundamentar suas teorias sem nenhum embasamento científico;

Eu vejo pessoas tomando a picada não aprovada, completamente experimental, vinda da experiência já escrita no ""Os Protocolos..."";

Vejo pessoas venerando seus algozes e humilhando seus benfeitores;

Vejo pessoas desconfiando dos justos e sendo guiadas por cegos;

Vejo pessoas imorais, que apontam o cisco nos olhos de seus irmãos mas são incapazes de retirarem a trave de vossos olhos; 

Vejo pessoas hipócritas, que mentem dizendo serem pesquisadores da verdade mas são infiltrados em movimentos para destruir a própria verdade....

Eu vejo tudo isso...quando você vai enxergar?

Não tem como não se decepcionar.",0,147,1,0,0,0,0,0,0,0,0
"Em épocas com muitos eventos grandes, altas quantidades de energia são emanadas no campo espiritual.
Amanhã é eleição, as pessoas estão quase se m4tando por causa de político. Hoje teve futebol e muita comemoração.
Dia 31 é Halloween.

Se apegue ainda mais o Altíssimo e não deixe que as frequências de medo, pânico ou euforia tomem conta de você.

Nesses períodos as pessoas ficam enfeitiçadas e é aí que as entidades demoníacas se aproveitam e consomem a energia de quem dá essas legalidades.

Busque o Eterno acima de tudo e desligue um pouco das redes em alguns momentos.
Ore e medite na Palavra! Só Ele que pode nos sustentar e nos livrar das aflições.

6. Não andeis ansiosos por motivo algum; pelo contrário, sejam todas as vossas solicitações declaradas na presença de Deus por meio de oração e súplicas com ações de graça.
7. E a paz de Deus, que ultrapassa todo entendimento, guardará o vosso coração e os vossos pensamentos em Cristo Jesus.
(Filipenses, 4)


[USER]",0,167,0,0,1,0,0,0,0,0,1
"Algumas premissas que ele adotou:
- Ser de direita;
- Ter nas redes sociais (Instagram e Facebook) postagens de apoio ao Bolsonaro; 
- Ele não colocou puxadores de voto que já considera eleito. Por que? Porque esses já estão eleitos! O que temos que dar voto são para aqueles do partido dele, a fim de que possam ser puxados pelo coeficiente eleitoral. (Nunca se perguntou por que Maria do Rosário e outros são eleitos mesmo tendo menos votos?);
- Ele também verificou quantos vezes o candidato votou a favor do Bolsonaro no portal Brasil em Foco (caso já tenha mandato);
- Ele também teve o saco de mandar e-mail perguntando sobre as políticas em caso de eleição. No caso de Brasília, ele foi no gabinete dos caras;
- No caso do RJ, ele tirou o Daniel Silveira, pois não acredita que o TSE vai deixá-lo assumir, mesmo ele sendo eleito.",0,150,0,0,0,0,0,0,0,0,0
"Apocalipse 22:11. Cristo fez expiação por Seu povo e apagou os seus pecados. “O reino e o domínio, e a majestade dos reinos debaixo de todo o Céu” (Daniel 7:27) estão prestes a ser entregues ao herdeiros da salvação, e Jesus deve reinar como Rei dos reis e Senhor dos senhores. GCC 268.2
Deixando Ele o santuário, as trevas cobrem os habitantes da Terra. Os justos devem viver à vista de um Deus santo, sem intercessor. Removeu-se a restrição que estivera sobre os ímpios, e Satanás assume completo domínio sobre o impenitente. O Espírito de Deus foi por fim retirado. Satanás mergulhará então os habitantes da Terra em uma grande angústia final. Os anjos de Deus deixam de conter os ventos impetuosos da paixão humana. O mundo inteiro se envolverá em ruína mais terrível do que a que sobreveio a Jerusalém na antigüidade. Há agora forças preparadas, e que aguardam apenas o consentimento divino para espalharem a desolação por toda parte. GCC 268.3",0,163,0,0,1,0,0,0,0,0,1
":sun_with_face:S:rose:H:cherry_blossom:A:sunflower:L:hibiscus:O:herb:M:sheaf_of_rice:""Porque desde a antiguidade não se ouviu, nem com ouvidos se percebeu, nem com os olhos se viu um DEUS  além de ti que TRABALHA  para aquele que NELE  espera.""(Isaías 64:4)

:fire::raising_hands_light_skin_tone:Paizinho, GRATIDÃO por  mais um dia na presença do SENHOR , por Tuas MISERICÓRDIAS que são a causa de não sermos consumidos...Reconhecemos que somos DEPENDENTES DA GRAÇA, entregamos as nossas VIDAS e todos que representamos,  principalmente os enfermos e as crianças que sofrem abusos, porque só o SENHOR é DEUS de MILAGRES e tem a SOLUÇÃO que precisamos...Surpreenda-nos com MARAVILHAS para a GLÓRIA do SENHOR, em nome de JESUS :red_heart:Yeshua Hamashia:folded_hands_light_skin_tone:Amém :place_of_worship:",0,103,0,0,1,0,0,0,0,0,1
Será? Se não tivesse ele não teria gravado outro vídeo tentando se justificar e falou que está sofrendo ameaças! Claro os esquerdista colocaram a cabeça dele a prêmio por ajudar o capitão kkkkk,0,33,0,0,0,0,0,0,1,0,1
"Fascismo não é anti-semita. O nazismo sim. O que caracteriza o fascismo é inchamento do Estado e, sim, supressão de liberdades. O Brasil é um país SOCIALISTA e o governo Bolsonaro foi de centro-esquerda, com alguns poucos hiatos de liberalismo.",0,40,0,0,0,0,0,0,0,0,1
":collision:

TRADUÇÃO por [USER] do [USER] :sparkles:

Esse é o Lula. Um homem que admitiu ter tentado estuprar um companheiro de prisão na década de 1970. Um homem acusado de ordenar o assassinato do prefeito de Santo André, Celso Daniel, e de mais de meia dúzia de testemunhas. Um homem grampeado pego reclamando amargamente que ninguém teve coragem de matar o ex-ministro da Economia, Palocci, na prisão.

(Eu nem vou mencionar sua corrupção desenfreada.)

Um homem que foi orgulhosamente retratado segurando uma estatueta de Baphomet durante uma visita a uma Igreja Satânica em São Paulo.

Ele é o mal encarnado. :fire::fire::fire:

:Brazil: Reze pelo Brasil :Brazil:

#lulaladrao #satanismo #eleicoes2022 #eleicoespresidenciais

[USER] :sparkles:",0,112,0,0,1,0,0,0,0,0,0
"Magno Malta alerta a direita sobre a vontade do presidente Em eleger Daniel Silveira. Não existe a possibilidade de eleger a esquerda e a mídia coloca romario seguido de Molon porque ambos atendem seus interesses. Eleja Daniel Silveira e a graça será cumprida. A maneira de mostrarmos defesa ao poder do presidente é justamente defendendo o seus. 
Vote 142, Daniel Silveira para o senado.",0,64,0,0,0,0,0,0,0,0,0
"________

Está escrito na palavra de Deus, o Senhor dos céus e da terra.

 PROVÉRBIOS o Livro da Sabedoria 









Como um leão que ruge ou um urso feroz
é o ímpio ( perverso) que governa
um povo necessitado .










Está escrito em Provérbios 28:15 Bíblia Sagrada

_________",0,47,0,0,1,0,0,0,0,0,1
